81fdc249b649f771f9cce9e62d082d1a a239a2ac588cd28330c113555b7f9af1 || 0 1 1 || 0 1 1 ||
88b56dea878fd48d48e42858c359d433 a7acf21ac4c2c49d755a1ccda38175ce || 0 1 1 || 0 1 1 ||
484ded22d0134d721284b3f0124481c7 5c94810b3381580243b229aee7fd5c91 || 0 1 1 || 0 1 1 ||
a73817fdfed4baba43a2e76c5d27fb82 511a7a7e80fb10ed541a0e0e08743a2b || 0 1 0 || 0 1 0 ||
6b73652ce850f5144057b151171378b3 03ced07aa18e3093142d017966455d42 || 0 0 0 || 0 0 0 ||
2b62b36d556bb42c123e1ec4ebc45600 82c101be688922377e5bd38e292eb717 || 0 0 1 || 0 0 1 ||
2d244083078210a8d85606159edbc49e 8add80a3cab9941731cb346d40ce6e1b || 0 0 1 || 0 0 1 ||
acab40e78dc412989472165531f5df9e 95f5b2bfeb1734be285af12d0c8a97b3 || 0 0 0 || 0 0 0 ||
612c8dd32a82cd14ad9ba16015e452ca c8ee2cc64f91de9a2c9e2c4623012b3e || 0 0 1 || 0 0 1 ||
37e1b63d471e3252569b4d16b5143e41 5c139a47ee41adfcad7871fcd2b77652 || 0 1 1 || 0 1 1 ||
f6d8017d8d90eacd0fe351cd9bedec27 5cf6d99498db002028348464e581cd2f || 0 1 0 || 0 1 0 ||
9707237b6e22594994792f5d717231a2 ed544e4dc060a8e83539cf23d3d0cc9a || 0 1 1 || 0 1 1 ||
87a99d45861ba1597dbfa6b0ace7ea9e b5d7d5d3c0f6795cf476dabe0520b624 || 0 1 1 || 0 1 1 ||
65a7a5a284558552ecd1c9a6cfbef6bf fcb965ffb959103c8e660a9ee04745c6 || 0 0 1 || 0 0 1 ||
1c1ac5f3fa40eab59a2d247c4c35e317 eb4c98bfc6f975577ac112f3fbc370f2 || 0 0 1 || 0 0 1 ||
112d2796d0ae44fbc9652c81b61776b4 6a19907bd02732d4d952ccb79ff8487d || 0 1 1 || 0 1 1 ||
ab924e1b513a337c05fb86669aa20b38 ea720c9e7bdc5c9b864c6eda6740ea6c || 0 1 1 || 0 1 1 ||
cd7fed8cdc2f572826f6e9213449dc4d 40a83d04f3b35f06a9317d20f8ed5a9c || 0 1 0 || 0 1 0 ||
7c138180dbf9cce97f815fd3801819a4 06e5f24ca33a58bccee37fb6ab96385b || 0 0 0 || 0 0 0 ||
8e65e0691455922fd941d539e4e7a3e3 5460c797990f7ca23704a6099a60c215 || 0 1 0 || 0 1 0 ||
087933337ba021f39397017c71cd7177 4bc6a3e10bec4324015d82402396c8ae || 0 1 1 || 0 1 1 ||
a2e4e38895975e9896655408ce3cc036 7e35407f237aa213d3a494e4ea46d631 || 0 1 0 || 0 1 0 ||
2d9c6b9178a7660bcea917fdebe9c456 f931757bfc2e594e3dd81fd8d6908e2e || 0 0 1 || 0 0 1 ||
77d284f7d9f2a30cd68f3b2b93d15775 5b71404280313911fe121aa17ffc5cf4 || 0 0 0 || 0 0 0 ||
043af82e42a2aaf9758669548aa73b76 4f59e1642e24afa8509b9433dae913fa || 0 1 1 || 0 1 1 ||
8f73b8d19cb5ac3623c9ec033cf0e525 3c1942217a4517acde96c5a27d24a649 || 0 1 0 || 0 1 0 ||
156c29b959632cfcb82fb46480a59d35 5cfcb96f7c4e7b749b4c0ca116bdeb29 || 0 1 1 || 0 1 1 ||
70f5b36f8d996c585a0115c440a3e371 c275b765c3fdb242c8d433322e5da537 || 0 0 1 || 0 0 1 ||
22c76a00f8a9c7aec8aac2d8fa5d867b 8854628eceecf616aabbd3136f5e0b93 || 0 0 1 || 0 0 1 ||
3a05280d2d5316557f315959c289c83e f14beaa9829a0c5dbf868927491adf24 || 0 0 1 || 0 0 1 ||
ca76b620786e03453806d1e795521c06 86909f933313b9dd99946040332bad68 || 0 0 0 || 0 0 0 ||
2652df9d5a4261035768ddf96e56b230 0ae88835b4cee2acc9c8352b75ceee88 || 0 0 0 || 0 0 0 ||
e817778ff0c958d7aadde4160c455f87 2ac8c465dfcd0c1778a0ef311ffbf37a || 0 1 0 || 0 1 0 ||
4001e646a00530850c494cf4df0ce1d3 1a0450441e0b40bfda67aa316722931d || 0 0 0 || 0 0 0 ||
05de43d0ddc9ce91a96bcb441a1f4ad2 42aa25d41a61c953d7acd1625ae194fa || 0 1 1 || 0 1 1 ||
e1e4dc93a4662c0107bca42e6084bd6a 61d23c3fe76bc246f86e8f3b5f9789f4 || 0 1 0 || 0 1 0 ||
33b7ca9a6d77f0143ffdf771f8e43fac 9593168a9e1f738048f0401719f0a726 || 0 0 1 || 0 0 1 ||
978ed35a2f276467c3fce7ce2cdbb3cb 72a393aa575b559df578949d520704a4 || 0 1 0 || 0 1 0 ||
fbca39000d668f1cab3ccd5341a7c774 7bc4c182ef1de478c87fecc20fccab23 || 0 1 0 || 0 1 0 ||
c98d2d0d0f5e16d379cfd37d5b13b26f 03517b9a9cacbb7da10697aaa73c27bf || 0 1 0 || 0 1 0 ||
0df0dbbb4f2966fab43ea2e4879ed2b0 e0a40d500954552cfbc50822d0498d0a || 0 0 1 || 0 0 1 ||
989fa846871877332e16e599516246ea 7410a97bfe796f8d80a5ec48def49de7 || 0 1 0 || 0 1 0 ||
17020c1028969af0408787d391f0301f 8086f16d19c17481be1b91329b562472 || 0 0 1 || 0 0 1 ||
9ab91b1bcf5feb3c4f434619c06a6b40 feff554b48a9cb4cd89049c1560ba050 || 0 1 1 || 0 1 1 ||
7be3c03cbe8fa0514ad7d4ec050e09e4 3436c789b86fd86de68d2e0b1bc5b75d || 0 0 0 || 0 0 0 ||
fad76940dd8310d235c575da3ea8dfb8 92902f2b8968c90880b5d598e4b31c99 || 0 0 0 || 0 0 0 ||
bd494204011588e0c5f4df9713e95ae2 cac9ff46b267256dcdec19ddce45c073 || 0 1 1 || 0 1 1 ||
276fbc22d3e77c10acad0ce3b56e88a3 1050dd9e2dcff9181561ba7eab06fb01 || 0 0 0 || 0 0 0 ||
557047b49dabbdfce6a645f395bbb0b5 2be0699652b18d7d29e6b8b54661d052 || 0 0 0 || 0 0 0 ||
63821d317a814663d9c0721179515fb4 286e235028c1029fe38b5ff58c475b24 || 0 0 0 || 0 0 0 ||
2d5abd4db17bffeefc50e273c847f738 40ccef744a07fff4005219d1bb98f148 || 0 1 1 || 0 1 1 ||
37233277380f46ed7fd3edecc4eb9320 ce38ac57830108014a2723af5c190ca4 || 0 0 1 || 0 0 1 ||
e0804adcf16883773f72adf3ac9b7cae 6903bfbab1df2c9a462c33519816e5d2 || 0 1 0 || 0 1 0 ||
b4bee2eb7efc3ef3c2a2e4f21cc034fd 2738cece0a053257f78bb5197ca5be8a || 0 1 0 || 0 1 0 ||
31a8e35666a86f71c5c564db97af0d5b 3893488c9573f197a9f9dad838b8f4e0 || 0 1 1 || 0 1 1 ||
57dd45410c8433c04b7d1dd803b702c7 5bec67f93a4298a557953de6c0840599 || 0 1 1 || 0 1 1 ||
785f3a07398a5e635e9f9264f969c508 8122a9db63aef165c7f921038ec4f3e6 || 0 0 1 || 0 0 1 ||
4bc43b20183620c41aece6d54c514740 4313f56b2b9291e3ee7adcc1e6482831 || 0 0 0 || 0 0 0 ||
93a5f74c7e5cca2a11be3d780acfc6b4 f549c1f728360504962f5037d6055596 || 0 1 1 || 0 1 1 ||
778a736e65ff37bd66d2d70e2fbb25bd 9346cdd15ab745852194b3795097e9c3 || 0 0 1 || 0 0 1 ||
298204ea81c7b2c4e6b94af0fc8678d0 22ed045e400a8fe13c5fee45aa5ab915 || 0 0 0 || 0 0 0 ||
e4df2b15bc0d80dd8ef7a32b53709dbf 119935c4213d66c9ecc14e1d3eb88818 || 0 1 0 || 0 1 0 ||
97ae694d6f12d0f0a831a7592775399b 2eee57371a24433263369b281b389c04 || 0 1 0 || 0 1 0 ||
2b43964b1d8abd879536f039686e7baf 8099ee4b4e69c912e3a7a534631dd96f || 0 0 1 || 0 0 1 ||
24a2ca83cae160ad41c2388ce38ad590 092d7e3529dfd20cc01fc03adb21df93 || 0 0 0 || 0 0 0 ||
ded2e401c2e705a1870cb0ab4a8acd8b 6820b4296e95277b7216a95ee53309b6 || 0 1 0 || 0 1 0 ||
4da77257714eb6564ef97d813eb5061d 61dbd0169f1280da575f370a032f043b || 0 1 1 || 0 1 1 ||
3f73866d86c2dd0b50dba66b2fa8f750 b59e2a7f119483766a6b46d9b720536d || 0 0 1 || 0 0 1 ||
1892c39e1f72e69ad62708154b8bf08f 8017f9ecca3e937651db469d60c0c181 || 0 0 1 || 0 0 1 ||
6b2c21bb22d66337af03ae6ea05da519 08dc22a509a4677014daaea64b051003 || 0 0 0 || 0 0 0 ||
59389bad9823899332c20856e7c8318d f264cc1436a6d239aa067ea4d1f738ab || 0 0 1 || 0 0 1 ||
f3de4b80ecfa9903cef3453de53a72a0 03f94cc571d721788e851a5e60b91657 || 0 1 0 || 0 1 0 ||
99f48c5f8932125a0437c5f73425e295 9190701385e8d55b3259216b41cdd7b8 || 0 0 0 || 0 0 0 ||
8584c7ac0aad25f97a4c627df6741684 e88df35b6d1ad7005b1b377715035ac1 || 0 1 1 || 0 1 1 ||
8eb403b248d820772072bc0099928424 86daeefaebec76ef4e7cc75ab89bf02d || 0 0 0 || 0 0 0 ||
988902c64e7afbb3455516d5a600b77f f620da73957319c791c6d6185aa0040f || 0 1 1 || 0 1 1 ||
3f100be0e48aa3371aaa19ebc7a42fa2 271742632b52d19376f0555b4cd9f5fb || 0 0 0 || 0 0 0 ||
1e01c9f45de1b2c95a0239234de992c0 881b73b67262d94cd204d54b2a8e6b0c || 0 0 1 || 0 0 1 ||
a338ba7f344dd17a4e68048c728c0e32 094ae1766cf79b3be143d6d569d92b16 || 0 1 0 || 0 1 0 ||
223c2a88b6150469bb60d4ba75c1f345 00f9ec61ac92131b3d5a1941cf628157 || 0 0 0 || 0 0 0 ||
5a51a52075a6bdc8c9716acc82876914 484d3a82020fba55f887bf0a86ecdc36 || 0 0 0 || 0 0 0 ||
c064cd0ea66864869e14e9b7dc734148 68acca67e870e195b5d5cf480bd9d01a || 0 1 0 || 0 1 0 ||
968df03348dca55a73018b43e5f6549c 78c5e6d17de3956cb171a418c6497ea1 || 0 1 0 || 0 1 0 ||
83d1c5567e967c8432e77df53b4afe66 158dd5fb9a63389d0d5c92e2b136e714 || 0 1 0 || 0 1 0 ||
6a8c934c6edb53420c83cbef2b1f0fca a73509c4f9032167c33a3620a62b46a5 || 0 0 1 || 0 0 1 ||
8bba147c3effe6fb4e5c1297f35f8edd f1b690bef7734944bd5f97ad573e8098 || 0 1 1 || 0 1 1 ||
16cc7b0020540dcd93958b0829e53715 84ca36d7f27ef79b6cf92c0d45db34de || 0 0 1 || 0 0 1 ||
40eb89fe690eae7cf023a64048064b99 0ad95dba52a7c17d686a9586b11bd9b7 || 0 0 0 || 0 0 0 ||
4bdbb3e1e064b49388ca2447aff43e38 8cf784ad96f78e143db0523b0f695790 || 0 0 1 || 0 0 1 ||
7d3e56edea311d2a43800b5052ca2d49 b454d81f3b05d62c45aa062067b619a7 || 0 0 1 || 0 0 1 ||
52b66712a90b65b085ec09269c485ddf bde28c726f1458392ee259399a631af8 || 0 0 1 || 0 0 1 ||
14039356a8f8206ebeb1bd39796e0c8d e9d58955020a77af5a96fbbefeb67108 || 0 0 1 || 0 0 1 ||
789aafc573022e286ae753ef433635bd 7bf347aacbd74a72890f351c0ee1abd4 || 0 1 1 || 0 1 1 ||
caaf2effa840c93458d303310ef4e16d c9ebd41e13f286e8a456fc9bc58b5ab0 || 0 0 0 || 0 0 0 ||
8ebe21074c55b268a0a256df706b4139 686707c25b1e7581a6b1cb7a51d6acfe || 0 1 0 || 0 1 0 ||
c457ec17c9aa4f8683e798c8c112b055 478aa453592ed94344aec705d895c84a || 0 1 0 || 0 1 0 ||
ffb2a490a5a601414bd16978d08820fd 174685b6a6dac7067e26a7880f1821fa || 0 1 0 || 0 1 0 ||
d049fc5940ed670bb9b51d3b3c3ab393 c16f45ba6f5db4fde7d3c4772a47784d || 0 0 0 || 0 0 0 ||
13077f17bbc15dc82794927653ee149a fbe5ab43452c970813c915fdcd56827a || 0 0 1 || 0 0 1 ||
591fa615b6082b552e59d1d40843c7d6 3c646d373d6e10d9e24805368294210f || 0 0 0 || 0 0 0 ||
7f11c5b7ee47b71d61fc3d8bd377a5d6 89ea2f91346b587edfc09b0d734c515e || 0 0 1 || 0 0 1 ||
b2889f9fda6c726cde5f1521c71f0ea3 e35b8320a36a5c49412844352e312b03 || 0 1 1 || 0 1 1 ||
4ccfe9931611cea18edfacd179e260f5 2f66aaabb1280c7f094e0611c54adbcb || 0 0 0 || 0 0 0 ||
667348ded342730f34844ff5f94edfa3 77460dfd970bad78548614dd0edaf461 || 0 1 1 || 0 1 1 ||
17f7083975aac2a18da08682544846ba 779d61ef16c8f7e4aba93ce248a225ea || 0 1 1 || 0 1 1 ||
125aad1d7fe7e8b694849ca09e279ad7 a6085e3b45a7eb87d0c778f3e28e9ac2 || 0 0 1 || 0 0 1 ||
3d573f6b988e423d484db414c959a31c 4fedb184e9e3f6b129e55508ac750e06 || 0 1 1 || 0 1 1 ||
65b71c9307bc92e538a16131ce0444de 2f7a92f2139e21268083d09ba889ca98 || 0 0 0 || 0 0 0 ||
640620e87c95a6cc4aad2a5fd461ae90 6abc36cd4cfb53208b4c792a7858b029 || 0 1 1 || 0 1 1 ||
dbcf5248fec1a02ebfcb717b9d9f61ad f52887c82949a6d9cd6d2717000563c7 || 0 1 1 || 0 1 1 ||
01022b0939da746d900042a70368368e 028827805d0ba7e00a930930406d0378 || 0 1 1 || 0 1 1 ||
4e54d3b504c0fff448647cb4b21bd150 8f3db57784c3476487443cee523061fb || 0 0 1 || 0 0 1 ||
a208a14d5f5e7124dad9264e38043e12 5df33d3b3266c71e00cc32faf9516d01 || 0 1 0 || 0 1 0 ||
57952c6f98ce5a7ed0dffd23a0401bb0 175d2d3cb76cee00969a89d99f765624 || 0 0 0 || 0 0 0 ||
e2160913740b984da6d9d703e765e6e7 666784623c005c0a3756df94123e4c8f || 0 1 0 || 0 1 0 ||
b1ecb764f2edf2cfd0f3c7d6aec6da2e 9568a4ae9374456764a77a84e06868b0 || 0 0 0 || 0 0 0 ||
26f1dab5f6a1d7a9353cff2887049fd1 36064a73cd87d1dc452b2d85e9361c6d || 0 1 1 || 0 1 1 ||
51bed5e7140e736054390d75bad6c426 1db38a79c2b5175302d0d9d38fc3415e || 0 0 0 || 0 0 0 ||
a53a46f1e5a4879361d21b51ec4a35e0 9648cf52af391efc5732125f0aafcea1 || 0 0 0 || 0 0 0 ||
b72cdb85f90de1a50c647f04defee54f f599927d4b5fcceedd48c718028c59c6 || 0 1 1 || 0 1 1 ||
b3a535caca3f68a7ce8d0b98f27614e5 37eacb067aadef9f915257a87eeefc79 || 0 1 0 || 0 1 0 ||
dea8b3a07f01767a7718ef2bab124335 fbf1d07553b5cc4b5e4a7c9feac3011e || 0 1 1 || 0 1 1 ||
c58c5dd40cda79f2d2d2dfe382993fc0 5d501085ba87aba040123e50162ee045 || 0 1 0 || 0 1 0 ||
fbc56f05efd9431d8538137e099f83da b6017541f51972ced9d008c8790897fa || 0 0 0 || 0 0 0 ||
90aa5494d40b5aac3804a77a6fee84ef 9741e364e2a9569a0f04c847dd037158 || 0 1 1 || 0 1 1 ||
d414ba0acd38f1d5b7c17d1219e9c099 b2f14bf005f69221314e6c245533495a || 0 0 0 || 0 0 0 ||
2a0deeeda3ea38adf8ad49963d4e7fb4 a19effe20f43515bec11d9604d6ea99c || 0 0 1 || 0 0 1 ||
e60cce3df4fd3090a8bfafe9152105b2 7ebcf4c38e0bfcb29b9811d27e4ecfbb || 0 1 0 || 0 1 0 ||
45eed0311e4d66db70f574cf3b2144d6 88cc37e5ad29c44fee236131af4bc99b || 0 0 1 || 0 0 1 ||
c90618a5427f89cfd8beadc76a450415 5ce405493cfe8d794ec514a39d726ce1 || 0 1 0 || 0 1 0 ||
b4eef20a2b6979991c1883c3289fec8c e357808916973e1a771e64cdc9196907 || 0 1 1 || 0 1 1 ||
d2b8483d02571fdabf91810abbdef4c5 62de4a3c6a98a733645c9638e1846c78 || 0 1 0 || 0 1 0 ||
9265c48d0ea380af63c3d7d1e7e68ce4 ba66130b7b3ab5f8dfed9b16ea9db2f5 || 0 1 1 || 0 1 1 ||
4acfe1980685ec241d5905b2c01527c5 fb0666a789d087839b14a4f14a62e618 || 0 0 1 || 0 0 1 ||
8316466d0f397ab714feb4c698783d11 cb193e7ca16c1798ffc8e880d437bb03 || 0 1 1 || 0 1 1 ||
7136585c5749d3212b7ac8e4a5ba8761 67acf9894038ac31e0fdd3637e534f8a || 0 0 0 || 0 0 0 ||
069e02442bb97b6f1acfbc0eed8b5a62 87587ff8fd4bb8f114b131536938b60f || 0 0 1 || 0 0 1 ||
da88203994a15cda14b0374243c0d3d5 9af3c5b43b0a1c00633c2f12bad96ad5 || 0 0 0 || 0 0 0 ||
893c09ccd71936894c94660a41926f4c 1259ac5ecc10faf679dd4140be01ae88 || 0 1 0 || 0 1 0 ||
a88c757eba9dedcee1f8a6ad1991eb1d 1478ae0e7a78fcf1e250441c9b2ca839 || 0 1 0 || 0 1 0 ||
1e77d305815aaa32b72a8048b06f7bda c828640f7df25eda337170fd7f9f3894 || 0 0 1 || 0 0 1 ||
bbe0f6d70960191f4319fe2e72f9b00b 02a16e36fc98c02ce9bf58eb8f9a86bf || 0 1 0 || 0 1 0 ||
35cd5a33450d544d74bb6206d8810985 ac159c8b7e83a33cdf80735cd3b763e5 || 0 0 1 || 0 0 1 ||
8c38276dea4236a0c7d0ae89644a70f0 22e0a2d206c381e6e8beb41ba330cfc2 || 0 1 0 || 0 1 0 ||
0ac57977f59c5302af441c930525bf1a dddfd338ba04bbbe58e3dff9e30b2b9d || 0 0 1 || 0 0 1 ||
8f822b53d2f56552aa7c4fe11f281f86 ea6d274049b1c9263c1127a63b8199f1 || 0 1 1 || 0 1 1 ||
be3508f368f535a29003d31c1a2b7735 a4149213284e2cfd9a37027d53c82266 || 0 0 0 || 0 0 0 ||
418d74c3ba28893977aae077f402fc67 c47ef652f15c5bad30aa930f508e04ee || 0 0 1 || 0 0 1 ||
291cdd5fdf9b08643aa579bd08d03d85 839f10e5310431a8122df73909e39569 || 0 0 1 || 0 0 1 ||
cf7c733823ad09dc5c1dbfbe04b73190 7337740adc75a4bd4208d47f974b7000 || 0 1 0 || 0 1 0 ||
10ad9792052576e2b96e54dc7957fe34 2d54c59fb259206d90f755070c9450ee || 0 1 1 || 0 1 1 ||
de29c5389efa3c5aa43db3e4e84787d4 f01f33da677ee8f352eb8a8be5da7560 || 0 1 1 || 0 1 1 ||
9d21e20eed146ad8c498f7a3e0b31657 20ea718636647933296ad20439afba48 || 0 1 0 || 0 1 0 ||
c31a10b69ae378d3140d1777a5752db2 b9bfd7e36e705d125952812afb381e1c || 0 0 0 || 0 0 0 ||
d811c76dafe78008b379de4b638b4d8c c5f37726abfd00f98e9f36898a5d4159 || 0 0 0 || 0 0 0 ||
70e339401ddb32c52b6938045abb1164 491f111ee89e7c0b9ef3c4d3053c0914 || 0 0 0 || 0 0 0 ||
4301f70f6ee805e2e22394368f95f422 9cc68967ae7b88d087259f366f207372 || 0 0 1 || 0 0 1 ||
48c1f0487b200495b18b9193890230f3 0a746f750707055f516f557ac618e88c || 0 0 0 || 0 0 0 ||
71b7100da1651e5aef5fa49be4448e2f 65e9ede6bd6e348d3989b94ce0331ffd || 0 0 0 || 0 0 0 ||
2dc4676d99f2d2cff8715e9c3087184e 1201035bce5f5cf2fd6fee8d9a4d7450 || 0 0 0 || 0 0 0 ||
6b81a6196e4a2653183f969a7b2a2865 47751cdf17e81f36dd1ab97cf135983f || 0 0 0 || 0 0 0 ||
4039bc16b59b42dc1e8a0b9600f30e0b 8f55b512a504abbf791b832d374d74e3 || 0 0 1 || 0 0 1 ||
e62ae3598f7652617b684d7953680f33 5b0fd9d3b9e21eba99471919532cee66 || 0 1 0 || 0 1 0 ||
8d12752888b5d17a08f6f618587c23a6 de326614fb2739ceca72af24fc277a0b || 0 1 1 || 0 1 1 ||
3f4f26c005fc63af013149a2fb0bb484 ae9daa9b82f8299535b35a0457a38f3d || 0 0 1 || 0 0 1 ||
e4c2ae9c3f38719ff069d0e9b497f2dc ff8613af9c6d9790087197b0ab100d79 || 0 1 1 || 0 1 1 ||
ae6be73850d661f988077706e9aeffcf 906658faa862364d03d6b564ef381ad3 || 0 0 0 || 0 0 0 ||
4420b295d1537dc5a60d6dff1a9dcaa4 0374f31f8f6325dfe0296c896ba7a0ec || 0 0 0 || 0 0 0 ||
57307f930610e2ab05e17dfe726dca35 76a113e0ce79e07e25364e836b484126 || 0 1 1 || 0 1 1 ||
fe726085f57f9980a78c539ffb6c4b8c 9d9aeb3c424f3f746ec644d7fae0b39f || 0 0 0 || 0 0 0 ||
b12885fe64ba096167921b6b71ef2412 a7a7c8430f419f6efd8e7055faf33d53 || 0 0 0 || 0 0 0 ||
6746ddc6141e42a29acabf2c82733d4f 34fae758a8b4673831e1844d95bcc959 || 0 0 0 || 0 0 0 ||
b5b7278881306b524dfcaed969480fd4 392aecf6a8e1fdef63a4fc5327591c59 || 0 1 0 || 0 1 0 ||
0d699c7fea0808af8d096df2e3cb0557 2c27c513c4cd61de1542c713043e602b || 0 1 1 || 0 1 1 ||
71a2fe082a7fe231c24e1faf33d039c4 f258b3e84f8cde5df3ae68987ad87aa7 || 0 0 1 || 0 0 1 ||
903a115861aedb50e7b0886a1e0976cf f540b3c12bca4bf6e41d69261af7917f || 0 1 1 || 0 1 1 ||
50aa1561a24809c6516e32d5b435286b 47d42c98b42aa0610c5a743911bc6790 || 0 0 0 || 0 0 0 ||
3feda70643dc899df97d9b8f33ca2af6 573744979273d361bd8eee605b85859d || 0 1 1 || 0 1 1 ||
6459fe67a2e39cc6f80dd35f57842dcc b56af25537fcdcda31ed25d48af95811 || 0 0 1 || 0 0 1 ||
15e9a930a0b5d461793d62f809bc10d7 1ac6977fdecd3c2efe8e7faa98b0725b || 0 1 1 || 0 1 1 ||
b23909da0531854a188399ab2b1729c2 c4dc9b9fbf20fdde589a7124799c7ebf || 0 1 1 || 0 1 1 ||
