c859cba7 a700a759 || 0 0 0 || 0 0 0 ||
c6566b86 eb840139 || 0 1 1 || 0 1 1 ||
0df13a6a c7c27f92 || 0 0 1 || 0 0 1 ||
7d9140f5 1c4fcc7f || 0 0 0 || 0 0 0 ||
37f40188 3282f6cf || 0 0 0 || 0 0 0 ||
db958ad7 56ce6800 || 0 1 0 || 0 1 0 ||
33756d2d e2776e5f || 0 0 1 || 0 0 1 ||
a55216ce 94becedf || 0 0 0 || 0 0 0 ||
c29adecf 137f70b6 || 0 1 0 || 0 1 0 ||
4a089fb5 5ac1e5d7 || 0 1 1 || 0 1 1 ||
fae7bb1e 784b57b5 || 0 1 0 || 0 1 0 ||
0f5153d8 807e018c || 0 0 1 || 0 0 1 ||
f4791af8 3dc3428f || 0 1 0 || 0 1 0 ||
1ff4050a 76047eef || 0 1 1 || 0 1 1 ||
1dbbafe9 f86c6a7f || 0 0 1 || 0 0 1 ||
e5921850 9d9a7126 || 0 0 0 || 0 0 0 ||
1f3908fe dcae8f1d || 0 0 1 || 0 0 1 ||
abde4f80 44de6a0a || 0 1 0 || 0 1 0 ||
d6af7984 f1fa7683 || 0 1 1 || 0 1 1 ||
c7c8ba7d f95073b5 || 0 1 1 || 0 1 1 ||
a63fc107 445b845c || 0 1 0 || 0 1 0 ||
46315262 e0eebdf1 || 0 0 1 || 0 0 1 ||
35d2dd9a 87493d5d || 0 0 1 || 0 0 1 ||
3ee5a072 07f3712a || 0 0 0 || 0 0 0 ||
a1c0763d 7739e006 || 0 1 0 || 0 1 0 ||
0da2a65c be35218f || 0 0 1 || 0 0 1 ||
f71458bf db78b85c || 0 0 0 || 0 0 0 ||
1af0fbe3 cbca647e || 0 0 1 || 0 0 1 ||
592e90b0 a6e764fc || 0 0 1 || 0 0 1 ||
b875fa8b bb860ded || 0 1 1 || 0 1 1 ||
8332701f 5a1c221c || 0 1 0 || 0 1 0 ||
c7fadc22 73ce457b || 0 1 0 || 0 1 0 ||
c56b9fd7 5f7dcae9 || 0 1 0 || 0 1 0 ||
5cb3bd78 e568fdf3 || 0 0 1 || 0 0 1 ||
4357a950 eaef670a || 0 0 1 || 0 0 1 ||
ff322ced da3ef942 || 0 0 0 || 0 0 0 ||
2ce79019 08390e10 || 0 0 0 || 0 0 0 ||
eab0b70b 81cec943 || 0 0 0 || 0 0 0 ||
4bac22d3 7323c3bb || 0 1 1 || 0 1 1 ||
3d9d9d9c dfd4498d || 0 0 1 || 0 0 1 ||
f09d9fa2 79ccf63d || 0 1 0 || 0 1 0 ||
0cceee44 fa95c7b4 || 0 0 1 || 0 0 1 ||
2d1891a1 5caa733b || 0 1 1 || 0 1 1 ||
2573fcc8 de35140f || 0 0 1 || 0 0 1 ||
5b01ad50 573925e7 || 0 0 0 || 0 0 0 ||
b587ac45 52883649 || 0 1 0 || 0 1 0 ||
903343e1 092e0a39 || 0 1 0 || 0 1 0 ||
8cf87084 70394b52 || 0 1 0 || 0 1 0 ||
6b77e5d6 59ebac75 || 0 0 0 || 0 0 0 ||
e65737cd 2dec7bc2 || 0 1 0 || 0 1 0 ||
1c73e201 98369b8e || 0 0 1 || 0 0 1 ||
ab5c9408 70284611 || 0 1 0 || 0 1 0 ||
a9885133 42c6a52d || 0 1 0 || 0 1 0 ||
9d17e1df ffabbe97 || 0 1 1 || 0 1 1 ||
e94ccf0c 861adf39 || 0 0 0 || 0 0 0 ||
284eb090 a302f8f7 || 0 0 1 || 0 0 1 ||
7db56680 9b97562a || 0 0 1 || 0 0 1 ||
cd82bc1b 80c424c8 || 0 0 0 || 0 0 0 ||
6418ee00 8198e6ed || 0 0 1 || 0 0 1 ||
7da32acc ef050452 || 0 0 1 || 0 0 1 ||
e3a79f47 0fb86afb || 0 1 0 || 0 1 0 ||
db4debcd 47e77b7a || 0 1 0 || 0 1 0 ||
8aca7097 12169c76 || 0 1 0 || 0 1 0 ||
be172a99 20bf2e81 || 0 1 0 || 0 1 0 ||
934b7827 35ecb0fe || 0 1 0 || 0 1 0 ||
2e027052 5352d09e || 0 1 1 || 0 1 1 ||
c33dab4b 51fb5d26 || 0 1 0 || 0 1 0 ||
79e9953c 97c5ae70 || 0 0 1 || 0 0 1 ||
d1eb369e f0e97711 || 0 1 1 || 0 1 1 ||
a83dcaaf 782c2f67 || 0 1 0 || 0 1 0 ||
67eda944 0431337e || 0 0 0 || 0 0 0 ||
e6fe6af7 d23b90a5 || 0 0 0 || 0 0 0 ||
aa1abfae e97b3f39 || 0 1 1 || 0 1 1 ||
0b8a2ef7 4f9e5259 || 0 1 1 || 0 1 1 ||
32900334 15d4fb13 || 0 0 0 || 0 0 0 ||
638c2dfb fedba142 || 0 0 1 || 0 0 1 ||
67a3768e df8b6aae || 0 0 1 || 0 0 1 ||
9cec22e3 118191d4 || 0 1 0 || 0 1 0 ||
b330c502 b56a6439 || 0 1 1 || 0 1 1 ||
4b631933 e2786fde || 0 0 1 || 0 0 1 ||
84c5bdd5 6b48abf1 || 0 1 0 || 0 1 0 ||
e47dd73f 047861ab || 0 1 0 || 0 1 0 ||
06856e15 3cc3243f || 0 1 1 || 0 1 1 ||
34137f56 9b1ebbf6 || 0 0 1 || 0 0 1 ||
229d93fa da7fcb93 || 0 0 1 || 0 0 1 ||
2ef2c208 e3171283 || 0 0 1 || 0 0 1 ||
5d2e76a9 aebb161d || 0 0 1 || 0 0 1 ||
f0964707 7f2584f6 || 0 1 0 || 0 1 0 ||
a4074dfb 5c27ee7e || 0 1 0 || 0 1 0 ||
ededb742 c7324cee || 0 0 0 || 0 0 0 ||
3a9afbfd 631d8e7d || 0 1 1 || 0 1 1 ||
35e46598 a129ba7d || 0 0 1 || 0 0 1 ||
e044326f 27b3f2f9 || 0 1 0 || 0 1 0 ||
9b61a7e0 47fd630c || 0 1 0 || 0 1 0 ||
23ca61b6 167fcd04 || 0 0 0 || 0 0 0 ||
5c083e0d 1bda01e2 || 0 0 0 || 0 0 0 ||
f97afbce 0b3eba11 || 0 1 0 || 0 1 0 ||
3c7e5ca7 a35bc5aa || 0 0 1 || 0 0 1 ||
a530bcc8 0202b7bf || 0 1 0 || 0 1 0 ||
53a8d4e1 5d1f47b9 || 0 1 1 || 0 1 1 ||
cb726a92 7fb2e22f || 0 1 0 || 0 1 0 ||
7c608a00 514347cc || 0 0 0 || 0 0 0 ||
3b6cce94 badc6500 || 0 0 1 || 0 0 1 ||
524e7453 0b2d9748 || 0 0 0 || 0 0 0 ||
f2c15d0e e5e8fe25 || 0 0 0 || 0 0 0 ||
213481c5 07fa8d4b || 0 0 0 || 0 0 0 ||
20660966 7e1b4078 || 0 1 1 || 0 1 1 ||
8f65bca2 7b3f672c || 0 1 0 || 0 1 0 ||
9b3a54b4 2f143ba3 || 0 1 0 || 0 1 0 ||
1e779a5f 383233cf || 0 1 1 || 0 1 1 ||
fec6cd5a a291b717 || 0 0 0 || 0 0 0 ||
4fbe974e 8b648f73 || 0 0 1 || 0 0 1 ||
165f79d4 cdc2cd41 || 0 0 1 || 0 0 1 ||
cd9c31bb 38b247fc || 0 1 0 || 0 1 0 ||
cad35213 1195d26d || 0 1 0 || 0 1 0 ||
95b4665d 022e6111 || 0 1 0 || 0 1 0 ||
230437c2 7f6564b5 || 0 1 1 || 0 1 1 ||
b79520c9 77cfb7ee || 0 1 0 || 0 1 0 ||
5e2b9aeb c62635c9 || 0 0 1 || 0 0 1 ||
40ed18bc 2d60de11 || 0 0 0 || 0 0 0 ||
d7d55bcd af260360 || 0 0 0 || 0 0 0 ||
9e388315 d7b504fe || 0 1 1 || 0 1 1 ||
aded37f0 c7348f48 || 0 1 1 || 0 1 1 ||
2f9a75d6 e571d8a7 || 0 0 1 || 0 0 1 ||
6e79395a 45ba0297 || 0 0 0 || 0 0 0 ||
7c124128 a0797188 || 0 0 1 || 0 0 1 ||
cd1d7703 63656c27 || 0 1 0 || 0 1 0 ||
c8661c0c fdab835c || 0 1 1 || 0 1 1 ||
bf0223ba 9dc79267 || 0 0 0 || 0 0 0 ||
55c7318f 2cbd33d4 || 0 0 0 || 0 0 0 ||
61adcf6f e63d089c || 0 0 1 || 0 0 1 ||
b805273f 47f36b69 || 0 1 0 || 0 1 0 ||
503ce750 0fdfc471 || 0 0 0 || 0 0 0 ||
b87f35c0 8bda6641 || 0 0 0 || 0 0 0 ||
41d69050 07dbef00 || 0 0 0 || 0 0 0 ||
9c6a103f 80b9fd07 || 0 0 0 || 0 0 0 ||
0ed93698 0d579862 || 0 0 0 || 0 0 0 ||
e3fedee8 44d0e0de || 0 1 0 || 0 1 0 ||
dbb1d6d9 6a4e77fc || 0 1 0 || 0 1 0 ||
30a3c7e8 c3e71afb || 0 0 1 || 0 0 1 ||
6680fd58 41766c69 || 0 0 0 || 0 0 0 ||
3c741ebb 9df4bf71 || 0 0 1 || 0 0 1 ||
b28994d7 13276ec0 || 0 1 0 || 0 1 0 ||
5d31c368 3d14f7e1 || 0 0 0 || 0 0 0 ||
f5df5502 b8e632c5 || 0 0 0 || 0 0 0 ||
0207349b f33ca9c8 || 0 0 1 || 0 0 1 ||
70eb35d9 0503037d || 0 0 0 || 0 0 0 ||
60f31b33 b6727a6b || 0 0 1 || 0 0 1 ||
6038ca56 35b7e93c || 0 0 0 || 0 0 0 ||
f2d0c92b 6e5eb0c8 || 0 1 0 || 0 1 0 ||
fd6a4b85 b3624917 || 0 0 0 || 0 0 0 ||
75d30a8b 845ac257 || 0 0 1 || 0 0 1 ||
0ae99c68 8642411d || 0 0 1 || 0 0 1 ||
92211500 d752b900 || 0 1 1 || 0 1 1 ||
86f94977 b7f85a10 || 0 1 1 || 0 1 1 ||
e7e33883 908f8390 || 0 0 0 || 0 0 0 ||
479c677e a31d5df5 || 0 0 1 || 0 0 1 ||
86e61589 5791f98c || 0 1 0 || 0 1 0 ||
2f29160d 1cb81848 || 0 0 0 || 0 0 0 ||
9fc95669 376ded09 || 0 1 0 || 0 1 0 ||
154bfd58 83e51faf || 0 0 1 || 0 0 1 ||
e6d8dfed 7af2e48f || 0 1 0 || 0 1 0 ||
120aff14 25e0757f || 0 1 1 || 0 1 1 ||
faaf0b7e ac27ef88 || 0 0 0 || 0 0 0 ||
adfbe32f 1b7eaf71 || 0 1 0 || 0 1 0 ||
2db3ba7a 9ccbf292 || 0 0 1 || 0 0 1 ||
ade72b25 798cb4a4 || 0 1 0 || 0 1 0 ||
30fa3cdc 3e4a4a67 || 0 1 1 || 0 1 1 ||
d01738da 9b8435e1 || 0 0 0 || 0 0 0 ||
1febece3 a0917b8b || 0 0 1 || 0 0 1 ||
27b714e0 33ee0fef || 0 1 1 || 0 1 1 ||
8f9822db f7a7405f || 0 1 1 || 0 1 1 ||
9213a157 24a2781d || 0 1 0 || 0 1 0 ||
1411139d 6ad33ee2 || 0 1 1 || 0 1 1 ||
16a40c73 02946538 || 0 0 0 || 0 0 0 ||
924d74f2 7a360020 || 0 1 0 || 0 1 0 ||
2220c8fc 8c62c4b8 || 0 0 1 || 0 0 1 ||
232d1930 f70910b5 || 0 0 1 || 0 0 1 ||
4188d9b5 26150c5e || 0 0 0 || 0 0 0 ||
4580395c 8729a799 || 0 0 1 || 0 0 1 ||
bff98972 e48d24ec || 0 1 1 || 0 1 1 ||
6398d3bc 7f3c2307 || 0 1 1 || 0 1 1 ||
eb4a6029 cd4c4d29 || 0 0 0 || 0 0 0 ||
980f2025 c20d2ed0 || 0 1 1 || 0 1 1 ||
9e49c7c8 0d8aaf16 || 0 1 0 || 0 1 0 ||
d80ba18d 0d73bc61 || 0 1 0 || 0 1 0 ||
6e342fc4 ba80be7a || 0 0 1 || 0 0 1 ||
774aeb18 d72eb687 || 0 0 1 || 0 0 1 ||
31e61fc7 66505d33 || 0 1 1 || 0 1 1 ||
0b13166a f55fe2e9 || 0 0 1 || 0 0 1 ||
4013cf6c b3622876 || 0 0 1 || 0 0 1 ||
6bc7d0bd 77fdd4af || 0 1 1 || 0 1 1 ||
524888f5 d6608e45 || 0 0 1 || 0 0 1 ||
bcf501fb 083d5be5 || 0 1 0 || 0 1 0 ||
cb30cad0 d04c8bf8 || 0 1 1 || 0 1 1 ||
000cbcc0 cf60db78 || 0 0 1 || 0 0 1 ||
48f406e6 b88bed6e || 0 0 1 || 0 0 1 ||
3dc3736b 63a8f33b || 0 1 1 || 0 1 1 ||
e3b95961 3e7c03f9 || 0 1 0 || 0 1 0 ||
6c9af401 f200d6ff || 0 0 1 || 0 0 1 ||
3dba6436 4e604d59 || 0 1 1 || 0 1 1 ||
4c3e4813 3d622494 || 0 0 0 || 0 0 0 ||
d3791a2e 08ddd517 || 0 1 0 || 0 1 0 ||
441949ba a72526d9 || 0 0 1 || 0 0 1 ||
d1b271d1 d4acca01 || 0 1 1 || 0 1 1 ||
a8804278 5b2cafd4 || 0 1 0 || 0 1 0 ||
a9427636 a5bc357e || 0 0 0 || 0 0 0 ||
c911440f f4a53bdb || 0 1 1 || 0 1 1 ||
70376047 8b2bd961 || 0 0 1 || 0 0 1 ||
55bbaad5 166f0a94 || 0 0 0 || 0 0 0 ||
2f80487a 657e09fc || 0 1 1 || 0 1 1 ||
036aeaef fbe04b00 || 0 0 1 || 0 0 1 ||
656d634a fe6a5dd5 || 0 0 1 || 0 0 1 ||
d0b3f5dd d3badd53 || 0 1 1 || 0 1 1 ||
42944d5d 3aff8872 || 0 0 0 || 0 0 0 ||
45996647 ef88f338 || 0 0 1 || 0 0 1 ||
628fe436 9f6cc427 || 0 0 1 || 0 0 1 ||
0641febb c90a7351 || 0 0 1 || 0 0 1 ||
e132c686 d6026fc8 || 0 0 0 || 0 0 0 ||
81c7aea7 cd3b5598 || 0 1 1 || 0 1 1 ||
6e8c73e8 8a042f97 || 0 0 1 || 0 0 1 ||
54cd1c54 92b7cb3c || 0 0 1 || 0 0 1 ||
b6374939 232aa219 || 0 1 0 || 0 1 0 ||
bb9e45e6 d78aba9a || 0 1 1 || 0 1 1 ||
cde9f44c cf5223ef || 0 1 1 || 0 1 1 ||
b6fe0ed8 74544e49 || 0 1 0 || 0 1 0 ||
08b04d27 6e1a489e || 0 1 1 || 0 1 1 ||
0224516c d0122296 || 0 0 1 || 0 0 1 ||
f46582c9 4a4a2b9c || 0 1 0 || 0 1 0 ||
6ccb246e b901c805 || 0 0 1 || 0 0 1 ||
40647af0 2a5f6336 || 0 0 0 || 0 0 0 ||
efdc7802 cbaf0d65 || 0 0 0 || 0 0 0 ||
9f7ea2b0 2f4f8a2a || 0 1 0 || 0 1 0 ||
f59b2da7 fc103203 || 0 1 1 || 0 1 1 ||
22b99fef 7a15b5fd || 0 1 1 || 0 1 1 ||
e9588a65 48476218 || 0 1 0 || 0 1 0 ||
82897782 73b28566 || 0 1 0 || 0 1 0 ||
aef7d92b bf7713eb || 0 1 1 || 0 1 1 ||
6e9005de ee707877 || 0 0 1 || 0 0 1 ||
2749f41c d2e131f7 || 0 0 1 || 0 0 1 ||
d627ea43 b762db97 || 0 0 0 || 0 0 0 ||
698b58ee aa27f75c || 0 0 1 || 0 0 1 ||
03b57483 42a9fc7e || 0 1 1 || 0 1 1 ||
18e02bed c934919e || 0 0 1 || 0 0 1 ||
e0a25eec 09526d1f || 0 1 0 || 0 1 0 ||
d98f2b4e 4b9aa082 || 0 1 0 || 0 1 0 ||
8b453741 f3d93131 || 0 1 1 || 0 1 1 ||
7c3a66ec afc65a56 || 0 0 1 || 0 0 1 ||
494219c6 78e895a3 || 0 1 1 || 0 1 1 ||
43fe2097 38d540cd || 0 0 0 || 0 0 0 ||
46f01640 0880adc9 || 0 0 0 || 0 0 0 ||
f104330a 3ef34da4 || 0 1 0 || 0 1 0 ||
bd8a76d5 0ad90c7c || 0 1 0 || 0 1 0 ||
ab5e35c8 6bf81307 || 0 1 0 || 0 1 0 ||
0122c605 59ba99ba || 0 1 1 || 0 1 1 ||
15fe5648 063241e4 || 0 0 0 || 0 0 0 ||
3d4f9903 950059f1 || 0 0 1 || 0 0 1 ||
f7c1a252 9f617ea8 || 0 0 0 || 0 0 0 ||
3e083215 08d92350 || 0 0 0 || 0 0 0 ||
ef2c8a96 cb1cfedd || 0 0 0 || 0 0 0 ||
d526f8d1 4dd580dc || 0 1 0 || 0 1 0 ||
a7192809 0c3a3ced || 0 1 0 || 0 1 0 ||
3aba8b02 e50b26ca || 0 0 1 || 0 0 1 ||
d6c83bf1 9eff0342 || 0 0 0 || 0 0 0 ||
27c83a0d bd1443cd || 0 0 1 || 0 0 1 ||
5c315a06 4246c4b2 || 0 0 0 || 0 0 0 ||
6fe7c5ea d2811c23 || 0 0 1 || 0 0 1 ||
65a02354 6a6fa29c || 0 1 1 || 0 1 1 ||
6ec674d8 4458b5e4 || 0 0 0 || 0 0 0 ||
4e4e99ba efe72ee2 || 0 0 1 || 0 0 1 ||
26e67a99 9ec5a53d || 0 0 1 || 0 0 1 ||
1c5cdd4a 75be6876 || 0 1 1 || 0 1 1 ||
04d44a2b 1fa5fd33 || 0 1 1 || 0 1 1 ||
a82eb825 7f5fbf23 || 0 1 0 || 0 1 0 ||
3236553a 9167070d || 0 0 1 || 0 0 1 ||
7c89524b 3aa31877 || 0 0 0 || 0 0 0 ||
083ae0fe d3e9f1b7 || 0 0 1 || 0 0 1 ||
e159c327 b6abb0e2 || 0 0 0 || 0 0 0 ||
b5e7fe35 0efd8ed1 || 0 1 0 || 0 1 0 ||
8718bd9f 6d0dbd44 || 0 1 0 || 0 1 0 ||
433021b6 43a2e563 || 0 1 1 || 0 1 1 ||
d1db55c3 de988e41 || 0 1 1 || 0 1 1 ||
840e2861 6c43fef3 || 0 1 0 || 0 1 0 ||
c1c24fc1 2ac18025 || 0 1 0 || 0 1 0 ||
819cfa38 59fc45b0 || 0 1 0 || 0 1 0 ||
ea5b49d6 9ac9a1b5 || 0 0 0 || 0 0 0 ||
0e66fab2 7aa50229 || 0 1 1 || 0 1 1 ||
b3999eeb c0ed364e || 0 1 1 || 0 1 1 ||
b847e643 a2e32a80 || 0 0 0 || 0 0 0 ||
505bd4e9 7eaeab0a || 0 1 1 || 0 1 1 ||
ac02590a 2e3f8ac5 || 0 1 0 || 0 1 0 ||
33479cc1 a9f1c766 || 0 0 1 || 0 0 1 ||
8417e0d4 d8660fa0 || 0 1 1 || 0 1 1 ||
597bd7df 89107995 || 0 0 1 || 0 0 1 ||
6eae6793 3758e3ce || 0 0 0 || 0 0 0 ||
47eba4bd db2b2732 || 0 0 1 || 0 0 1 ||
690969cd b0760fd0 || 0 0 1 || 0 0 1 ||
ab7398a6 48617450 || 0 1 0 || 0 1 0 ||
0177ace7 01ad1798 || 0 1 1 || 0 1 1 ||
e096a744 3532e4d4 || 0 1 0 || 0 1 0 ||
d5f2e184 55dafc86 || 0 1 0 || 0 1 0 ||
bb7705c8 4511e499 || 0 1 0 || 0 1 0 ||
feb8052f ee19989d || 0 0 0 || 0 0 0 ||
d2c5803e a4aca482 || 0 0 0 || 0 0 0 ||
61da3682 c19df555 || 0 0 1 || 0 0 1 ||
f9f78c0e 5be77ca6 || 0 1 0 || 0 1 0 ||
689121c0 f42c7a3c || 0 0 1 || 0 0 1 ||
878f6c5d 97f0b6bb || 0 1 1 || 0 1 1 ||
af7f8441 5319054c || 0 1 0 || 0 1 0 ||
d476e4de 853e2318 || 0 0 0 || 0 0 0 ||
6bf7bcfc eeb7bfdd || 0 0 1 || 0 0 1 ||
623bb410 0d810828 || 0 0 0 || 0 0 0 ||
06779215 cfd238e7 || 0 0 1 || 0 0 1 ||
e4020489 810b6149 || 0 0 0 || 0 0 0 ||
08da3eab f7f6c448 || 0 0 1 || 0 0 1 ||
c9f81102 fcbfc9a1 || 0 1 1 || 0 1 1 ||
a8ade1f0 b72db8cb || 0 1 1 || 0 1 1 ||
c84bcf6d 9b05cc10 || 0 0 0 || 0 0 0 ||
c7840f2b 67476f0e || 0 1 0 || 0 1 0 ||
9a331b48 3e5f2790 || 0 1 0 || 0 1 0 ||
f74e23e3 f7c4e4e7 || 0 1 1 || 0 1 1 ||
1523ba80 d493ff27 || 0 0 1 || 0 0 1 ||
2e3abac0 76d5d9dd || 0 1 1 || 0 1 1 ||
a2ff4ac3 6c5a9cae || 0 1 0 || 0 1 0 ||
14fab315 25ea473b || 0 1 1 || 0 1 1 ||
97c30d7a 7861dc18 || 0 1 0 || 0 1 0 ||
3dcccf29 e287fe4c || 0 0 1 || 0 0 1 ||
b4784374 17776bda || 0 1 0 || 0 1 0 ||
bc9f7425 1786e9dd || 0 1 0 || 0 1 0 ||
e41d31e4 a6d61a5a || 0 0 0 || 0 0 0 ||
7186e88d 000fa0e6 || 0 0 0 || 0 0 0 ||
8cffbc63 29a2190d || 0 1 0 || 0 1 0 ||
0e57f4dd 5844f725 || 0 1 1 || 0 1 1 ||
4f45f813 a3ef16c1 || 0 0 1 || 0 0 1 ||
196afc12 1605fd95 || 0 0 0 || 0 0 0 ||
3806e5b0 17dfff9c || 0 0 0 || 0 0 0 ||
a295c5b2 90d81d8e || 0 0 0 || 0 0 0 ||
9679b472 a9c5e642 || 0 1 1 || 0 1 1 ||
d22e9bc3 568e44d5 || 0 1 0 || 0 1 0 ||
7f5367b0 9e817ea8 || 0 0 1 || 0 0 1 ||
feaf0872 21c4acbe || 0 1 0 || 0 1 0 ||
4c9b6dc9 1aff21db || 0 0 0 || 0 0 0 ||
0c3e502a 7ab47c27 || 0 1 1 || 0 1 1 ||
315cec76 6ccb9b57 || 0 1 1 || 0 1 1 ||
c1e47070 300449ba || 0 1 0 || 0 1 0 ||
17d2c74a 173cf3d1 || 0 0 0 || 0 0 0 ||
01c39ceb cf5330d0 || 0 0 1 || 0 0 1 ||
e75885ce 2c91fdfd || 0 1 0 || 0 1 0 ||
bc4a2e41 f7fd7192 || 0 1 1 || 0 1 1 ||
be11576f 806a6251 || 0 0 0 || 0 0 0 ||
49a5adc1 b83c3ee7 || 0 0 1 || 0 0 1 ||
6762fde7 f89b95c2 || 0 0 1 || 0 0 1 ||
7a3e3ca7 01febfd0 || 0 0 0 || 0 0 0 ||
d87e3c83 e3a7c130 || 0 1 1 || 0 1 1 ||
31d5bff5 d7f0156c || 0 0 1 || 0 0 1 ||
5f839d32 ecdc0217 || 0 0 1 || 0 0 1 ||
ee3b431f 3b3eb386 || 0 1 0 || 0 1 0 ||
63cb6791 ef658a98 || 0 0 1 || 0 0 1 ||
d32eaa92 f0f61b90 || 0 1 1 || 0 1 1 ||
8fb92ca4 54a21cd7 || 0 1 0 || 0 1 0 ||
c7646c80 7e50e0e0 || 0 1 0 || 0 1 0 ||
3490e790 fedbc9b5 || 0 0 1 || 0 0 1 ||
33da644e 89846e47 || 0 0 1 || 0 0 1 ||
350727a1 2c6efc8d || 0 0 0 || 0 0 0 ||
07d17292 5d135b0c || 0 1 1 || 0 1 1 ||
38d1fc17 730099d1 || 0 1 1 || 0 1 1 ||
2ef3515b ef065f38 || 0 0 1 || 0 0 1 ||
ab486c18 48d34734 || 0 1 0 || 0 1 0 ||
1366bba9 606c7165 || 0 1 1 || 0 1 1 ||
ad219f1e 5e58ea73 || 0 1 0 || 0 1 0 ||
d3801511 24a4bcec || 0 1 0 || 0 1 0 ||
3a3da63e e5cccb51 || 0 0 1 || 0 0 1 ||
75c3097d 2f5d81aa || 0 0 0 || 0 0 0 ||
8047a93e 8bdeed8a || 0 1 1 || 0 1 1 ||
a9835a77 36d8dc70 || 0 1 0 || 0 1 0 ||
fb411c3e 733eb4ad || 0 1 0 || 0 1 0 ||
e34f360b 766a9bd0 || 0 1 0 || 0 1 0 ||
43970ee0 695a33cc || 0 1 1 || 0 1 1 ||
4292a86b 381d9b3b || 0 0 0 || 0 0 0 ||
943df689 e3b3cd6c || 0 1 1 || 0 1 1 ||
95d002b2 b37787d4 || 0 1 1 || 0 1 1 ||
c7131d06 6f509969 || 0 1 0 || 0 1 0 ||
2c264a64 bfc39fc2 || 0 0 1 || 0 0 1 ||
2204eb88 b3511e1a || 0 0 1 || 0 0 1 ||
c9118571 4ef5bf99 || 0 1 0 || 0 1 0 ||
4d862524 35171ade || 0 0 0 || 0 0 0 ||
2dd8a46b d3e5d16b || 0 0 1 || 0 0 1 ||
909986c9 826beaae || 0 0 0 || 0 0 0 ||
814a7058 659efdbe || 0 1 0 || 0 1 0 ||
30f78182 8c97d4a0 || 0 0 1 || 0 0 1 ||
05c3e1e2 35f33391 || 0 1 1 || 0 1 1 ||
2dc8284a 21549aa4 || 0 0 0 || 0 0 0 ||
d9fd0170 f9ddef39 || 0 1 1 || 0 1 1 ||
5a35c074 e125d0a4 || 0 0 1 || 0 0 1 ||
aeb69aaa e9bb70b0 || 0 1 1 || 0 1 1 ||
917143c0 4c731c76 || 0 1 0 || 0 1 0 ||
5f9cd317 e05267da || 0 0 1 || 0 0 1 ||
160b906b 9884e51b || 0 0 1 || 0 0 1 ||
fc0be4ba a98de0cd || 0 0 0 || 0 0 0 ||
5599f8b1 1512a53a || 0 0 0 || 0 0 0 ||
e35bd3b6 def3f9e0 || 0 0 0 || 0 0 0 ||
f5ca916e b8fc2424 || 0 0 0 || 0 0 0 ||
f218c798 24deb8d8 || 0 1 0 || 0 1 0 ||
90d1da57 e5b63385 || 0 1 1 || 0 1 1 ||
a96adbff 9b131638 || 0 0 0 || 0 0 0 ||
1da42b7c fef8e731 || 0 0 1 || 0 0 1 ||
cd768b4f 637417a6 || 0 1 0 || 0 1 0 ||
94cc75a0 d49e7e27 || 0 1 1 || 0 1 1 ||
8a44149b df0cf532 || 0 1 1 || 0 1 1 ||
069aaf2b 0c2004fa || 0 1 1 || 0 1 1 ||
c95ccc48 50d60574 || 0 1 0 || 0 1 0 ||
