94c8 9511 || 0 1 1 || 0 1 1 ||
02e7 a88c || 0 0 1 || 0 0 1 ||
3454 9cdf || 0 0 1 || 0 0 1 ||
aa3d 4e16 || 0 1 0 || 0 1 0 ||
b751 6a05 || 0 1 0 || 0 1 0 ||
adc4 484f || 0 1 0 || 0 1 0 ||
db52 83f0 || 0 0 0 || 0 0 0 ||
4ede c7b8 || 0 0 1 || 0 0 1 ||
135b 564f || 0 1 1 || 0 1 1 ||
88c4 84ca || 0 0 0 || 0 0 0 ||
5dfa faf3 || 0 0 1 || 0 0 1 ||
ba41 9886 || 0 0 0 || 0 0 0 ||
ec83 4381 || 0 1 0 || 0 1 0 ||
0577 bd9c || 0 0 1 || 0 0 1 ||
973b 481e || 0 1 0 || 0 1 0 ||
a6e5 5f7c || 0 1 0 || 0 1 0 ||
bf95 142a || 0 1 0 || 0 1 0 ||
d741 a5ed || 0 0 0 || 0 0 0 ||
25a3 8504 || 0 0 1 || 0 0 1 ||
531f 938c || 0 0 1 || 0 0 1 ||
a01d f35f || 0 1 1 || 0 1 1 ||
0421 4454 || 0 1 1 || 0 1 1 ||
e96c 68cb || 0 1 0 || 0 1 0 ||
6f83 07e2 || 0 0 0 || 0 0 0 ||
d69e 4f39 || 0 1 0 || 0 1 0 ||
8d7f 2ae5 || 0 1 0 || 0 1 0 ||
4d56 8aab || 0 0 1 || 0 0 1 ||
a235 5251 || 0 1 0 || 0 1 0 ||
90ec b3e6 || 0 1 1 || 0 1 1 ||
018d a70d || 0 0 1 || 0 0 1 ||
8748 adde || 0 1 1 || 0 1 1 ||
2107 a669 || 0 0 1 || 0 0 1 ||
1c56 7f95 || 0 1 1 || 0 1 1 ||
3c78 7b9f || 0 1 1 || 0 1 1 ||
4dd7 0850 || 0 0 0 || 0 0 0 ||
06e9 80df || 0 0 1 || 0 0 1 ||
4efe 6942 || 0 1 1 || 0 1 1 ||
bd42 a268 || 0 0 0 || 0 0 0 ||
6043 f374 || 0 0 1 || 0 0 1 ||
f46c 9dea || 0 0 0 || 0 0 0 ||
43f5 b31b || 0 0 1 || 0 0 1 ||
cd88 20fe || 0 1 0 || 0 1 0 ||
e207 835f || 0 0 0 || 0 0 0 ||
fda0 c59e || 0 0 0 || 0 0 0 ||
415f 3461 || 0 0 0 || 0 0 0 ||
81cf c19a || 0 1 1 || 0 1 1 ||
1d71 1156 || 0 0 0 || 0 0 0 ||
1b79 ebbc || 0 0 1 || 0 0 1 ||
f005 a4f8 || 0 0 0 || 0 0 0 ||
b9f2 6790 || 0 1 0 || 0 1 0 ||
a247 f135 || 0 1 1 || 0 1 1 ||
10e4 389d || 0 1 1 || 0 1 1 ||
313c 436f || 0 1 1 || 0 1 1 ||
c6ec 5b89 || 0 1 0 || 0 1 0 ||
8a12 ec22 || 0 1 1 || 0 1 1 ||
5ac1 23ff || 0 0 0 || 0 0 0 ||
3396 27f5 || 0 0 0 || 0 0 0 ||
415c c3dd || 0 0 1 || 0 0 1 ||
b98e 6cbd || 0 1 0 || 0 1 0 ||
e179 8a2b || 0 0 0 || 0 0 0 ||
42b3 cd80 || 0 0 1 || 0 0 1 ||
4316 49fc || 0 1 1 || 0 1 1 ||
58bb 0e69 || 0 0 0 || 0 0 0 ||
e3e1 c6d3 || 0 0 0 || 0 0 0 ||
90b5 353f || 0 1 0 || 0 1 0 ||
7974 88fc || 0 0 1 || 0 0 1 ||
fa24 cb61 || 0 0 0 || 0 0 0 ||
2754 818e || 0 0 1 || 0 0 1 ||
b385 468f || 0 1 0 || 0 1 0 ||
08e4 e7cd || 0 0 1 || 0 0 1 ||
984c ebd7 || 0 1 1 || 0 1 1 ||
58b8 3ac6 || 0 0 0 || 0 0 0 ||
0c48 c825 || 0 0 1 || 0 0 1 ||
0ccc 0e05 || 0 1 1 || 0 1 1 ||
f11a 43d6 || 0 1 0 || 0 1 0 ||
10e3 2c9f || 0 1 1 || 0 1 1 ||
571e f9f2 || 0 0 1 || 0 0 1 ||
f0b1 bcca || 0 0 0 || 0 0 0 ||
1e09 2281 || 0 1 1 || 0 1 1 ||
bd28 9907 || 0 0 0 || 0 0 0 ||
01f3 01ff || 0 1 1 || 0 1 1 ||
ab00 46c1 || 0 1 0 || 0 1 0 ||
f470 efd2 || 0 0 0 || 0 0 0 ||
6be0 d94e || 0 0 1 || 0 0 1 ||
4f12 133b || 0 0 0 || 0 0 0 ||
71a9 d729 || 0 0 1 || 0 0 1 ||
08a9 d780 || 0 0 1 || 0 0 1 ||
5991 53ad || 0 0 0 || 0 0 0 ||
b048 1c3b || 0 1 0 || 0 1 0 ||
02b3 9abc || 0 0 1 || 0 0 1 ||
8333 b2d9 || 0 1 1 || 0 1 1 ||
2c68 cbe2 || 0 0 1 || 0 0 1 ||
febe 836c || 0 0 0 || 0 0 0 ||
06c7 0ba4 || 0 1 1 || 0 1 1 ||
5782 b9aa || 0 0 1 || 0 0 1 ||
65cf eddb || 0 0 1 || 0 0 1 ||
5e4d d1c4 || 0 0 1 || 0 0 1 ||
dfdd 3973 || 0 1 0 || 0 1 0 ||
2ce4 4ae5 || 0 1 1 || 0 1 1 ||
c264 991b || 0 0 0 || 0 0 0 ||
ecf6 329c || 0 1 0 || 0 1 0 ||
d5dd 6a3f || 0 1 0 || 0 1 0 ||
797b 96d4 || 0 0 1 || 0 0 1 ||
6de7 dc1c || 0 0 1 || 0 0 1 ||
4fd0 445a || 0 0 0 || 0 0 0 ||
b597 6820 || 0 1 0 || 0 1 0 ||
c6d7 0313 || 0 1 0 || 0 1 0 ||
ef69 4c7a || 0 1 0 || 0 1 0 ||
bed3 88f9 || 0 0 0 || 0 0 0 ||
51ae 8e96 || 0 0 1 || 0 0 1 ||
9a6a 5715 || 0 1 0 || 0 1 0 ||
6116 acac || 0 0 1 || 0 0 1 ||
2449 5079 || 0 1 1 || 0 1 1 ||
f730 aa5d || 0 0 0 || 0 0 0 ||
a4c6 a1e2 || 0 0 0 || 0 0 0 ||
8e25 7944 || 0 1 0 || 0 1 0 ||
9416 add1 || 0 1 1 || 0 1 1 ||
8b38 dbbd || 0 1 1 || 0 1 1 ||
6eb4 c243 || 0 0 1 || 0 0 1 ||
cd62 2e20 || 0 1 0 || 0 1 0 ||
cd4f 7e4c || 0 1 0 || 0 1 0 ||
1852 a40b || 0 0 1 || 0 0 1 ||
dd5b 0811 || 0 1 0 || 0 1 0 ||
3fba 8a17 || 0 0 1 || 0 0 1 ||
85b9 7d4d || 0 1 0 || 0 1 0 ||
e12f 143f || 0 1 0 || 0 1 0 ||
47ea d922 || 0 0 1 || 0 0 1 ||
bcad 9663 || 0 0 0 || 0 0 0 ||
d076 3996 || 0 1 0 || 0 1 0 ||
babc 7d9f || 0 1 0 || 0 1 0 ||
6857 3520 || 0 0 0 || 0 0 0 ||
b698 3546 || 0 1 0 || 0 1 0 ||
7f24 8e5d || 0 0 1 || 0 0 1 ||
da87 e86e || 0 1 1 || 0 1 1 ||
931f feac || 0 1 1 || 0 1 1 ||
d19d 56a0 || 0 1 0 || 0 1 0 ||
2f21 c43f || 0 0 1 || 0 0 1 ||
2718 baea || 0 0 1 || 0 0 1 ||
d96a ce84 || 0 0 0 || 0 0 0 ||
da57 b778 || 0 0 0 || 0 0 0 ||
4ca5 66ec || 0 1 1 || 0 1 1 ||
96a5 cbe7 || 0 1 1 || 0 1 1 ||
a565 e1f4 || 0 1 1 || 0 1 1 ||
ab78 f02b || 0 1 1 || 0 1 1 ||
912f 436c || 0 1 0 || 0 1 0 ||
2733 5cce || 0 1 1 || 0 1 1 ||
bf75 8141 || 0 0 0 || 0 0 0 ||
3135 0a9c || 0 0 0 || 0 0 0 ||
efcc 60ee || 0 1 0 || 0 1 0 ||
3a04 36db || 0 0 0 || 0 0 0 ||
5c7e 3c2b || 0 0 0 || 0 0 0 ||
2591 f5b7 || 0 0 1 || 0 0 1 ||
17ec 0e41 || 0 0 0 || 0 0 0 ||
7842 77ca || 0 0 0 || 0 0 0 ||
0612 f743 || 0 0 1 || 0 0 1 ||
4934 8da4 || 0 0 1 || 0 0 1 ||
b2fb b9f7 || 0 1 1 || 0 1 1 ||
6ef4 3a1f || 0 0 0 || 0 0 0 ||
07f4 b193 || 0 0 1 || 0 0 1 ||
1089 d443 || 0 0 1 || 0 0 1 ||
0ca6 bf70 || 0 0 1 || 0 0 1 ||
ab69 5af6 || 0 1 0 || 0 1 0 ||
a7ad 0abb || 0 1 0 || 0 1 0 ||
9024 e192 || 0 1 1 || 0 1 1 ||
428f 0f82 || 0 0 0 || 0 0 0 ||
dca9 a364 || 0 0 0 || 0 0 0 ||
6ecc 00c5 || 0 0 0 || 0 0 0 ||
a65f cca9 || 0 1 1 || 0 1 1 ||
a895 1287 || 0 1 0 || 0 1 0 ||
2a71 1c4e || 0 0 0 || 0 0 0 ||
4eb5 f0a5 || 0 0 1 || 0 0 1 ||
6255 bb10 || 0 0 1 || 0 0 1 ||
2252 db78 || 0 0 1 || 0 0 1 ||
941e d055 || 0 1 1 || 0 1 1 ||
5676 d0be || 0 0 1 || 0 0 1 ||
799c 8ceb || 0 0 1 || 0 0 1 ||
c669 f19f || 0 1 1 || 0 1 1 ||
603c e7e8 || 0 0 1 || 0 0 1 ||
b9e1 23f5 || 0 1 0 || 0 1 0 ||
719b a0e5 || 0 0 1 || 0 0 1 ||
d6a3 1300 || 0 1 0 || 0 1 0 ||
e71a 314d || 0 1 0 || 0 1 0 ||
6029 3419 || 0 0 0 || 0 0 0 ||
b999 b446 || 0 0 0 || 0 0 0 ||
5900 00ce || 0 0 0 || 0 0 0 ||
ffce 8192 || 0 0 0 || 0 0 0 ||
c7f7 ee0a || 0 1 1 || 0 1 1 ||
bf4a 048a || 0 1 0 || 0 1 0 ||
8a06 48a0 || 0 1 0 || 0 1 0 ||
21f1 6efc || 0 1 1 || 0 1 1 ||
da86 8c24 || 0 0 0 || 0 0 0 ||
28e1 5736 || 0 1 1 || 0 1 1 ||
7f57 b758 || 0 0 1 || 0 0 1 ||
b677 8b74 || 0 0 0 || 0 0 0 ||
f03c 1876 || 0 1 0 || 0 1 0 ||
cd71 4aee || 0 1 0 || 0 1 0 ||
9656 0ed1 || 0 1 0 || 0 1 0 ||
6c42 dd34 || 0 0 1 || 0 0 1 ||
4c9e 2886 || 0 0 0 || 0 0 0 ||
c092 b412 || 0 0 0 || 0 0 0 ||
1068 877c || 0 0 1 || 0 0 1 ||
497c 48bb || 0 0 0 || 0 0 0 ||
e30d 871d || 0 0 0 || 0 0 0 ||
c1f7 e531 || 0 1 1 || 0 1 1 ||
c8fe 8203 || 0 0 0 || 0 0 0 ||
4b36 7b81 || 0 1 1 || 0 1 1 ||
08be a168 || 0 0 1 || 0 0 1 ||
4d24 f35e || 0 0 1 || 0 0 1 ||
d0cf cce0 || 0 0 0 || 0 0 0 ||
6b2a a923 || 0 0 1 || 0 0 1 ||
c48f 272c || 0 1 0 || 0 1 0 ||
1022 d34f || 0 0 1 || 0 0 1 ||
1b1e 2da7 || 0 1 1 || 0 1 1 ||
40ba 97a7 || 0 0 1 || 0 0 1 ||
cf01 e5e1 || 0 1 1 || 0 1 1 ||
b46c 1d67 || 0 1 0 || 0 1 0 ||
9411 7a26 || 0 1 0 || 0 1 0 ||
cdbf 1777 || 0 1 0 || 0 1 0 ||
5cc6 e5e8 || 0 0 1 || 0 0 1 ||
f51c a52a || 0 0 0 || 0 0 0 ||
9431 1b5f || 0 1 0 || 0 1 0 ||
6758 e16a || 0 0 1 || 0 0 1 ||
4f38 5052 || 0 1 1 || 0 1 1 ||
f80a e049 || 0 0 0 || 0 0 0 ||
5438 e959 || 0 0 1 || 0 0 1 ||
3a52 f839 || 0 0 1 || 0 0 1 ||
8a6d 1b26 || 0 1 0 || 0 1 0 ||
06aa 501f || 0 1 1 || 0 1 1 ||
f84c e317 || 0 0 0 || 0 0 0 ||
00af 7622 || 0 1 1 || 0 1 1 ||
4dc0 9aac || 0 0 1 || 0 0 1 ||
0d89 7a77 || 0 1 1 || 0 1 1 ||
5a31 2973 || 0 0 0 || 0 0 0 ||
e93a 1897 || 0 1 0 || 0 1 0 ||
221b 7e21 || 0 1 1 || 0 1 1 ||
9bf9 8154 || 0 0 0 || 0 0 0 ||
7ead 3af8 || 0 0 0 || 0 0 0 ||
000b 73a2 || 0 1 1 || 0 1 1 ||
11f4 d3c9 || 0 0 1 || 0 0 1 ||
4a57 033c || 0 0 0 || 0 0 0 ||
764a 5134 || 0 0 0 || 0 0 0 ||
a85d aa36 || 0 1 1 || 0 1 1 ||
09a8 efee || 0 0 1 || 0 0 1 ||
e16f 338d || 0 1 0 || 0 1 0 ||
ef87 5293 || 0 1 0 || 0 1 0 ||
3d2f f8a2 || 0 0 1 || 0 0 1 ||
8160 82a4 || 0 1 1 || 0 1 1 ||
d7a1 1368 || 0 1 0 || 0 1 0 ||
ba97 041c || 0 1 0 || 0 1 0 ||
05f4 4247 || 0 1 1 || 0 1 1 ||
ca07 63ad || 0 1 0 || 0 1 0 ||
c05e f611 || 0 1 1 || 0 1 1 ||
15a7 8aca || 0 0 1 || 0 0 1 ||
0d07 cf1c || 0 0 1 || 0 0 1 ||
7fb4 1777 || 0 0 0 || 0 0 0 ||
6d6c 5bb8 || 0 0 0 || 0 0 0 ||
42d8 1e9e || 0 0 0 || 0 0 0 ||
5d72 554e || 0 0 0 || 0 0 0 ||
5688 11ae || 0 0 0 || 0 0 0 ||
fa1e 6665 || 0 1 0 || 0 1 0 ||
83a3 05cf || 0 1 0 || 0 1 0 ||
1557 187b || 0 1 1 || 0 1 1 ||
8c7f d147 || 0 1 1 || 0 1 1 ||
ad01 9cb8 || 0 0 0 || 0 0 0 ||
bd15 5512 || 0 1 0 || 0 1 0 ||
2b12 a729 || 0 0 1 || 0 0 1 ||
fa3d e6ad || 0 0 0 || 0 0 0 ||
395b a3b1 || 0 0 1 || 0 0 1 ||
06a3 91bc || 0 0 1 || 0 0 1 ||
5300 e66f || 0 0 1 || 0 0 1 ||
4645 a738 || 0 0 1 || 0 0 1 ||
eb94 e379 || 0 0 0 || 0 0 0 ||
0a66 baec || 0 0 1 || 0 0 1 ||
c2fc 9d24 || 0 0 0 || 0 0 0 ||
db69 2104 || 0 1 0 || 0 1 0 ||
f7c2 58cc || 0 1 0 || 0 1 0 ||
76a9 cdc7 || 0 0 1 || 0 0 1 ||
54e9 c50b || 0 0 1 || 0 0 1 ||
3d5d 4964 || 0 1 1 || 0 1 1 ||
bc03 47e7 || 0 1 0 || 0 1 0 ||
b55c 95eb || 0 0 0 || 0 0 0 ||
a014 0994 || 0 1 0 || 0 1 0 ||
dd86 12a3 || 0 1 0 || 0 1 0 ||
eb16 3fec || 0 1 0 || 0 1 0 ||
82a8 bde4 || 0 1 1 || 0 1 1 ||
fd14 802f || 0 0 0 || 0 0 0 ||
31bf 1b89 || 0 0 0 || 0 0 0 ||
b889 acf0 || 0 0 0 || 0 0 0 ||
ae99 b468 || 0 1 1 || 0 1 1 ||
f88f 60cc || 0 1 0 || 0 1 0 ||
d792 1864 || 0 1 0 || 0 1 0 ||
0099 a994 || 0 0 1 || 0 0 1 ||
48e6 7e1d || 0 1 1 || 0 1 1 ||
8dbc f0d9 || 0 1 1 || 0 1 1 ||
e1ab 473b || 0 1 0 || 0 1 0 ||
e45b b7d9 || 0 0 0 || 0 0 0 ||
5750 43ed || 0 0 0 || 0 0 0 ||
dea1 d8a8 || 0 0 0 || 0 0 0 ||
ef64 39a4 || 0 1 0 || 0 1 0 ||
6c54 8b7a || 0 0 1 || 0 0 1 ||
bdae c1d7 || 0 1 1 || 0 1 1 ||
bf7e c515 || 0 1 1 || 0 1 1 ||
4e8f da2e || 0 0 1 || 0 0 1 ||
a92a b0de || 0 1 1 || 0 1 1 ||
9f5a 83d0 || 0 0 0 || 0 0 0 ||
a6b6 a14f || 0 0 0 || 0 0 0 ||
1977 5982 || 0 1 1 || 0 1 1 ||
32e4 06c7 || 0 0 0 || 0 0 0 ||
4b0a 3a5a || 0 0 0 || 0 0 0 ||
fb49 0a26 || 0 1 0 || 0 1 0 ||
7fb0 3e7f || 0 0 0 || 0 0 0 ||
75fd 2593 || 0 0 0 || 0 0 0 ||
cdd7 8c8d || 0 0 0 || 0 0 0 ||
8743 2d1b || 0 1 0 || 0 1 0 ||
4a9e 2fa1 || 0 0 0 || 0 0 0 ||
d6cf 3c38 || 0 1 0 || 0 1 0 ||
b556 d9cd || 0 1 1 || 0 1 1 ||
eaee d3d2 || 0 0 0 || 0 0 0 ||
023a 8900 || 0 0 1 || 0 0 1 ||
4c49 10b0 || 0 0 0 || 0 0 0 ||
89ab edf8 || 0 1 1 || 0 1 1 ||
cb3d 5ba3 || 0 1 0 || 0 1 0 ||
2c05 f574 || 0 0 1 || 0 0 1 ||
84dc 1cd5 || 0 1 0 || 0 1 0 ||
b34e 55e1 || 0 1 0 || 0 1 0 ||
3c39 9696 || 0 0 1 || 0 0 1 ||
9bdd 6915 || 0 1 0 || 0 1 0 ||
21f5 1fea || 0 0 0 || 0 0 0 ||
3069 88e9 || 0 0 1 || 0 0 1 ||
70e1 5b97 || 0 0 0 || 0 0 0 ||
f0d1 ccd0 || 0 0 0 || 0 0 0 ||
ff18 3e44 || 0 1 0 || 0 1 0 ||
cc6c 825e || 0 0 0 || 0 0 0 ||
a950 c9a5 || 0 1 1 || 0 1 1 ||
61e4 143d || 0 0 0 || 0 0 0 ||
6b8b 3744 || 0 0 0 || 0 0 0 ||
c7d1 8338 || 0 0 0 || 0 0 0 ||
f149 a41a || 0 0 0 || 0 0 0 ||
2eee b124 || 0 0 1 || 0 0 1 ||
6be2 ae6a || 0 0 1 || 0 0 1 ||
edc4 9ceb || 0 0 0 || 0 0 0 ||
8067 5c99 || 0 1 0 || 0 1 0 ||
4a86 528e || 0 1 1 || 0 1 1 ||
2c8b 10e6 || 0 0 0 || 0 0 0 ||
8270 846f || 0 1 1 || 0 1 1 ||
bc9b 023e || 0 1 0 || 0 1 0 ||
80de 5070 || 0 1 0 || 0 1 0 ||
8097 a0b1 || 0 1 1 || 0 1 1 ||
450a 9b5b || 0 0 1 || 0 0 1 ||
5d9d 6f82 || 0 1 1 || 0 1 1 ||
d24b db1d || 0 1 1 || 0 1 1 ||
bd75 b44b || 0 0 0 || 0 0 0 ||
e609 be06 || 0 0 0 || 0 0 0 ||
75f2 702d || 0 0 0 || 0 0 0 ||
f861 5431 || 0 1 0 || 0 1 0 ||
e630 e5b1 || 0 0 0 || 0 0 0 ||
6f7d 678e || 0 0 0 || 0 0 0 ||
fe4c 2f13 || 0 1 0 || 0 1 0 ||
677d 4c85 || 0 0 0 || 0 0 0 ||
7bfb 3ab5 || 0 0 0 || 0 0 0 ||
2c27 a992 || 0 0 1 || 0 0 1 ||
b163 5fdc || 0 1 0 || 0 1 0 ||
183d a86a || 0 0 1 || 0 0 1 ||
944e 88f6 || 0 0 0 || 0 0 0 ||
9f4d ab6f || 0 1 1 || 0 1 1 ||
bfbe e22c || 0 1 1 || 0 1 1 ||
c4d9 7f26 || 0 1 0 || 0 1 0 ||
afc4 ded5 || 0 1 1 || 0 1 1 ||
719b 3be5 || 0 0 0 || 0 0 0 ||
d7c5 a858 || 0 0 0 || 0 0 0 ||
c8b0 9916 || 0 0 0 || 0 0 0 ||
f4c1 fb93 || 0 1 1 || 0 1 1 ||
cf0b 26ad || 0 1 0 || 0 1 0 ||
4678 20b4 || 0 0 0 || 0 0 0 ||
4d26 00d1 || 0 0 0 || 0 0 0 ||
cc3c a8d0 || 0 0 0 || 0 0 0 ||
f65d b019 || 0 0 0 || 0 0 0 ||
39ee 3a13 || 0 1 1 || 0 1 1 ||
2395 c496 || 0 0 1 || 0 0 1 ||
3ef7 17ae || 0 0 0 || 0 0 0 ||
5ee3 dac1 || 0 0 1 || 0 0 1 ||
fbe1 cea0 || 0 0 0 || 0 0 0 ||
64d5 4f90 || 0 0 0 || 0 0 0 ||
a7e8 49e4 || 0 1 0 || 0 1 0 ||
be2a 6922 || 0 1 0 || 0 1 0 ||
e00c 6c16 || 0 1 0 || 0 1 0 ||
