a836f4911b9790a9 5abc70a24a81959b || 0 1 0 || 0 1 0 ||
ce26fd3dbdfa3c91 8ef7d3c6d81dcd6d || 0 0 0 || 0 0 0 ||
9e5c16ab7d892ba8 0af8119a35ed86bb || 0 1 0 || 0 1 0 ||
10967b1a9a0e325a ffa5f067e5e41964 || 0 0 1 || 0 0 1 ||
f54b432ec7d2d32f 713714dc4d6df1ea || 0 1 0 || 0 1 0 ||
68ab847d04b17445 7ed17ce0ba2f5598 || 0 1 1 || 0 1 1 ||
abc1547ac32e3e31 b0999ac73f934f05 || 0 1 1 || 0 1 1 ||
d4c7a0b8b611aeec 21d66ddd421df13c || 0 1 0 || 0 1 0 ||
1274538e9830dcfc 38a768902c35704a || 0 1 1 || 0 1 1 ||
76dd5b605387a049 4e7bbf1498b96f61 || 0 0 0 || 0 0 0 ||
3c214c4779163eec e242e6b3ab2629b8 || 0 0 1 || 0 0 1 ||
73ae0ecfa0b29213 302020cf264fb9d5 || 0 0 0 || 0 0 0 ||
ef098deac0dd6d23 40f1ceecce0dca8d || 0 1 0 || 0 1 0 ||
60c92d894baafad1 d53c13d06e1a23a5 || 0 0 1 || 0 0 1 ||
d06895c03f8aac00 74b7754b41e4bf30 || 0 1 0 || 0 1 0 ||
533453ed9919521b a57fd246bf10a026 || 0 0 1 || 0 0 1 ||
61d0cad75a981078 deb546e48c020110 || 0 0 1 || 0 0 1 ||
7dc77b96ff97aee2 b55977e2383ef7ed || 0 0 1 || 0 0 1 ||
eb714a5d3a4cb534 8854d0e487664e36 || 0 0 0 || 0 0 0 ||
f3e95323e8e153d8 e605e80ab0b78411 || 0 0 0 || 0 0 0 ||
063e600dbdb7e39d ec31ed09f885c8a5 || 0 0 1 || 0 0 1 ||
88438efa7faa4dfd 1cd4e00d23c9340e || 0 1 0 || 0 1 0 ||
efe076c4de53759c 4a879ba5da50824f || 0 1 0 || 0 1 0 ||
6507618692955b01 7e56abe2128c5e74 || 0 1 1 || 0 1 1 ||
a445ef5784f2ac95 ed59573fd81a7f2b || 0 1 1 || 0 1 1 ||
713c7e8209d8099e 7149374a1d620e05 || 0 1 1 || 0 1 1 ||
db274148960767ad fee17ddea6a05d93 || 0 1 1 || 0 1 1 ||
04ed73bfeab60559 6aedb0f992cb8518 || 0 1 1 || 0 1 1 ||
1a4990bc981a97f3 bea7809a59bb09f5 || 0 0 1 || 0 0 1 ||
72611cd72cc63459 9d802a6a261717c5 || 0 0 1 || 0 0 1 ||
ee997635578e4c1e f401b38b1e56cf55 || 0 1 1 || 0 1 1 ||
953465bde5a9f301 5d53e13d504af649 || 0 1 0 || 0 1 0 ||
f3469f358d9bf406 4b5e6893a8fd2f98 || 0 1 0 || 0 1 0 ||
5abca884e9191306 0bda7248bcf81794 || 0 0 0 || 0 0 0 ||
c488fed345a071fd 28658b7e45abaec1 || 0 1 0 || 0 1 0 ||
21b0568c79f45995 d098e01986192cf7 || 0 0 1 || 0 0 1 ||
67cf5a445dc963a2 96c68bd0ddf4583b || 0 0 1 || 0 0 1 ||
666b0ff1a4d5ff96 85c2c666eb8ddbe9 || 0 0 1 || 0 0 1 ||
3c9a634b35c2b755 bd86439263b05087 || 0 0 1 || 0 0 1 ||
6cee915fb2b0f64d 69c8df07ade86bd6 || 0 0 0 || 0 0 0 ||
220cc4edac8b15f0 c49be0f5205b68dd || 0 0 1 || 0 0 1 ||
05d23b27fe913d98 9db01776976356ea || 0 0 1 || 0 0 1 ||
7f4dff0cb5a46ca4 5401b36b1f3b6c52 || 0 0 0 || 0 0 0 ||
046ed7908a0bfb1b 62fbcabbf854660b || 0 1 1 || 0 1 1 ||
b8007ca9e30eb5d0 d7ed0ce5f4a452e1 || 0 1 1 || 0 1 1 ||
53547d4768cc99cb d8b1a43d47ef8a54 || 0 0 1 || 0 0 1 ||
1cfd7c824aed4618 f3576db427153974 || 0 0 1 || 0 0 1 ||
75e33146a8e83396 52df3aac4d1faae5 || 0 0 0 || 0 0 0 ||
de287da4a904e866 23cbe9ef64590881 || 0 1 0 || 0 1 0 ||
1a60c8d4009c60b2 627404846e67812f || 0 1 1 || 0 1 1 ||
ca6d9c790fccec22 3580f69b6532f5c8 || 0 1 0 || 0 1 0 ||
21ba5037770d711b 94ae15615f7a9267 || 0 0 1 || 0 0 1 ||
374c531be076906c 698a03f12ab15c9b || 0 1 1 || 0 1 1 ||
509ad151c2014fae f421e99495473ac2 || 0 0 1 || 0 0 1 ||
7a1551cb4a63e33c 69f9ab79de095b4d || 0 0 0 || 0 0 0 ||
b7edf4caeae364d2 5403e645c9e2c023 || 0 1 0 || 0 1 0 ||
4a81f1221e670b8d c50f0cfdd898c0aa || 0 0 1 || 0 0 1 ||
423ae82d91a70c19 93d078f8839b612d || 0 0 1 || 0 0 1 ||
7c7a757d7eaa59fe 09a10640fc164dd9 || 0 0 0 || 0 0 0 ||
fcd651fbaa4d3529 a5505c63b0fb13aa || 0 0 0 || 0 0 0 ||
8dbeee079f8e5da8 5aed09704b900915 || 0 1 0 || 0 1 0 ||
f03a75f970907a88 84eff31238a34f94 || 0 0 0 || 0 0 0 ||
a786883e0df76fe6 f06982b837714e61 || 0 1 1 || 0 1 1 ||
d5dbb535db2eb5f4 3cbfdb94379b4143 || 0 1 0 || 0 1 0 ||
c6a894bd96a39e1a e4d311814c80907e || 0 1 1 || 0 1 1 ||
7d9913f8abdd273e 36c5887576d510d1 || 0 0 0 || 0 0 0 ||
511494a0370ac5df fc2f9c343bce461e || 0 0 1 || 0 0 1 ||
16d21c1d2d22ab20 f12f26c3d009d5ce || 0 0 1 || 0 0 1 ||
1c32bd58c97f79d4 398ea6cb46e19e10 || 0 1 1 || 0 1 1 ||
2c92bde921394a25 2e7dbe5d4f19bbaa || 0 1 1 || 0 1 1 ||
5adb8026558c3789 34d92f2434f60057 || 0 0 0 || 0 0 0 ||
cdd4827da7b326b6 f079d2b30c1c9cd2 || 0 1 1 || 0 1 1 ||
203f462fe0816162 8be6cef31c7dcbc0 || 0 0 1 || 0 0 1 ||
c27c079133e45ec4 22fe9403824518d4 || 0 1 0 || 0 1 0 ||
5b31f0a302aff70b bb70851abd985730 || 0 0 1 || 0 0 1 ||
aeba807706dd6a27 6bcef17f82de705f || 0 1 0 || 0 1 0 ||
6e0742ca9c32bc5e 7c596ad7bc0c3de5 || 0 1 1 || 0 1 1 ||
e989299b57fbd38b 8b0d348aedd62166 || 0 0 0 || 0 0 0 ||
1d3bfa3689dd46e8 bf527a296e1c04ea || 0 0 1 || 0 0 1 ||
0846672b88820f53 7fd44ef175fdf0c3 || 0 1 1 || 0 1 1 ||
d80a88522ef657e3 fdcc5df19117ac8c || 0 1 1 || 0 1 1 ||
8f6b2eb86234054a 2e08e3c2ef3d62be || 0 1 0 || 0 1 0 ||
1303b1d0ef569235 0c7ba9a2a768975c || 0 0 0 || 0 0 0 ||
c9308ff54e8409fa 511b1446abc71518 || 0 1 0 || 0 1 0 ||
3f9a3f73784245a0 15a1f8047bf0144a || 0 0 0 || 0 0 0 ||
1257f5e42ede75a4 80e3f99e91e5a269 || 0 0 1 || 0 0 1 ||
d37325eb69d27f58 cd1351512c84376d || 0 0 0 || 0 0 0 ||
9bbbe74a5ec983c6 fdd9108eb78a5c21 || 0 1 1 || 0 1 1 ||
be0a55f9785c3709 f7f5828f0772c0a2 || 0 1 1 || 0 1 1 ||
af084289d3a4c2e0 fa7fbff67de7d60a || 0 1 1 || 0 1 1 ||
4a3a049707f69bc5 ecb8d01e52ffb113 || 0 0 1 || 0 0 1 ||
96952e28eee7e787 1ef903e75e67948a || 0 1 0 || 0 1 0 ||
ed444ebfcdd4ef57 3edbdfc4f957371c || 0 1 0 || 0 1 0 ||
1db5ee0a92ea61d2 28af5b2ae3ea454d || 0 1 1 || 0 1 1 ||
22e5019b2bb828a7 7ed0c46cfaa5c672 || 0 1 1 || 0 1 1 ||
35f13d3ed251f967 38cc0ef02aa6b0c6 || 0 1 1 || 0 1 1 ||
5cee88f751464213 09fd671a72b600ca || 0 0 0 || 0 0 0 ||
d9c340557c6075b1 dedce4d0e5f4ed98 || 0 1 1 || 0 1 1 ||
46cc9306f01a9539 4f0b21d53983a336 || 0 1 1 || 0 1 1 ||
3fcda60ecdd6dd43 b318f284066a3d20 || 0 0 1 || 0 0 1 ||
b65b36e6b86dc906 b0054d3ce14a1e47 || 0 0 0 || 0 0 0 ||
b4f499fe59ffe790 b27a77a23ce6ed23 || 0 0 0 || 0 0 0 ||
123d6fe26528f990 eb8e0665ffbdcff5 || 0 0 1 || 0 0 1 ||
9f13ef018036ae41 d7ac8f3afd4ad5e0 || 0 1 1 || 0 1 1 ||
d47db7c89d88575e 757970eb8f8dfb95 || 0 1 0 || 0 1 0 ||
11cc4856cda44ccc 0fc377ce0b0431c6 || 0 0 0 || 0 0 0 ||
441e3027ca25d4b9 f3a63baf4235285e || 0 0 1 || 0 0 1 ||
7c8973790779bd76 3cddca2677c7394d || 0 0 0 || 0 0 0 ||
7dca602d9e60ee94 a41615949f138a70 || 0 0 1 || 0 0 1 ||
1aa03c496378a82a e1f47b21ad864951 || 0 0 1 || 0 0 1 ||
82771dd0a0c1a9a2 aec8fb9b4d933cbc || 0 1 1 || 0 1 1 ||
217695e241537576 7ff0414c293655d2 || 0 1 1 || 0 1 1 ||
c77a453ece09ae46 45fee0eebdafb1c4 || 0 1 0 || 0 1 0 ||
95e597ef28c4ce43 7224ed50e510a46a || 0 1 0 || 0 1 0 ||
c9c2f64addcda416 7df16de1f1cf36d2 || 0 1 0 || 0 1 0 ||
011d58138bfee210 9b994b935c44d38e || 0 0 1 || 0 0 1 ||
816a1494f12c87da 6ebc503cc729264e || 0 1 0 || 0 1 0 ||
dbff3e99c5085f69 dc34659a0974df14 || 0 1 1 || 0 1 1 ||
0e3c17c14e8b23b9 a11135dff8658de4 || 0 0 1 || 0 0 1 ||
c3d73e47ddbc8c4d 26a5b94a5fd6040b || 0 1 0 || 0 1 0 ||
e0c3486c578dab2e 99db6711c8d13e4c || 0 0 0 || 0 0 0 ||
32c74cb182bcd340 35d3c460eefd2601 || 0 1 1 || 0 1 1 ||
09bf592e5634d191 9e08aba7f61e82fb || 0 0 1 || 0 0 1 ||
1ef6e6bf12d2d7f9 1b18237a9cf2d91f || 0 0 0 || 0 0 0 ||
95ca3dadf41f3f20 d45d2aba883ef6ed || 0 1 1 || 0 1 1 ||
d2a0954f16447038 6acec88f6e4b6c88 || 0 1 0 || 0 1 0 ||
d59487a8e54f4daf 7eb881ba4325d311 || 0 1 0 || 0 1 0 ||
4d52009b82104bc5 1f4b750fdf42b106 || 0 0 0 || 0 0 0 ||
384d4781788b05a0 da3d949ec4dd7e94 || 0 0 1 || 0 0 1 ||
fd5bad7d90589d0d cfbf10c478a9b6be || 0 0 0 || 0 0 0 ||
e77f7aacfc5235cb 99cecd3dc318c9d3 || 0 0 0 || 0 0 0 ||
f0fc28430a94bce9 39ea05e190eb4bac || 0 1 0 || 0 1 0 ||
5858949d219f1e6d 46c7239833a1a93f || 0 0 0 || 0 0 0 ||
cedd9480b37d1542 7f24ac8395a12670 || 0 1 0 || 0 1 0 ||
1d301534cfcb4846 aba34b10058dc33a || 0 0 1 || 0 0 1 ||
822e15b046d0ae4e 79d8f1ebd3ad3455 || 0 1 0 || 0 1 0 ||
187c05a245741171 66a5f186268794dc || 0 1 1 || 0 1 1 ||
338720f60ace5771 c6bb050b6f30cd85 || 0 0 1 || 0 0 1 ||
e659210bf0c902d2 7294529a23a6db3d || 0 1 0 || 0 1 0 ||
30461e18bf800746 187b152cff35d0b7 || 0 0 0 || 0 0 0 ||
fb1881420617b1fb 8b4d9c6eb1ce1dbc || 0 0 0 || 0 0 0 ||
a62e67cefb9db3c3 a8270733e7dfcc3d || 0 1 1 || 0 1 1 ||
35f6b93d2c04c5bf 8b9901791f6e1f12 || 0 0 1 || 0 0 1 ||
5ee3a944eb119504 ff9b7e1dd064e7d0 || 0 0 1 || 0 0 1 ||
0120c418a845a849 2a38b3f0c1ef4e80 || 0 1 1 || 0 1 1 ||
e6de6bb6f757dc37 fd97be4331334255 || 0 1 1 || 0 1 1 ||
0a2bccee523f3cac 21c62eda3e60b5c7 || 0 1 1 || 0 1 1 ||
01590b65ea7055d6 5f9fd83765ac2b62 || 0 1 1 || 0 1 1 ||
7525410b155b6a46 37dd1e321bea4908 || 0 0 0 || 0 0 0 ||
acb246ff2ef6da11 5ee4a76d68a46f5c || 0 1 0 || 0 1 0 ||
6c6a2af068076280 c5bcfddb36550dbc || 0 0 1 || 0 0 1 ||
db614aba80b8a273 79d3d8818a3d7d82 || 0 1 0 || 0 1 0 ||
7c05e5ed0426c1b4 7b424b51ed9d5e98 || 0 0 0 || 0 0 0 ||
326bbab6c68f63df 95baef6bbb6ad810 || 0 0 1 || 0 0 1 ||
4054d2d173607f88 d5d5c8a2abcf0196 || 0 0 1 || 0 0 1 ||
bda59905cd7b6456 83d26850cc6a2be3 || 0 0 0 || 0 0 0 ||
0cad1d3c4acfdf82 6f746464eefd2278 || 0 1 1 || 0 1 1 ||
4f5bf81173eaf4ef 36a3fbcb5851a62c || 0 0 0 || 0 0 0 ||
468728269a5832a8 e8265cb2d061beca || 0 0 1 || 0 0 1 ||
89ee586e6eb041ac 53d8556ff93dc37b || 0 1 0 || 0 1 0 ||
05d5c47eee708958 ca34507cb26c2d85 || 0 0 1 || 0 0 1 ||
e0a9f5ba973b9438 6afde5a90a23f0d3 || 0 1 0 || 0 1 0 ||
99b6bbc2c662dff2 20e0a31c5c2cc898 || 0 1 0 || 0 1 0 ||
a2b292627b65f0fd 564834a3a62d16b5 || 0 1 0 || 0 1 0 ||
32ae7825f0fc8463 8185c214edab3485 || 0 0 1 || 0 0 1 ||
143c1113a904a05e df5f73727512748c || 0 0 1 || 0 0 1 ||
a08ef4a33910f80a db02d0de9a663150 || 0 1 1 || 0 1 1 ||
1771d68f74540c30 cb5ceaccdbef248c || 0 0 1 || 0 0 1 ||
eb12a9b9c40cdc78 e0454908a5ce8009 || 0 0 0 || 0 0 0 ||
8abfc0ea64fd8bcc ea32c3d6f467a1bb || 0 1 1 || 0 1 1 ||
906e8b29f2b4c65f c54d7aa5e7888311 || 0 1 1 || 0 1 1 ||
f58ec88e0db7e9c9 923f5eb860e1279a || 0 0 0 || 0 0 0 ||
1a67b0ec464667bf 7708ee4e9630032f || 0 1 1 || 0 1 1 ||
cb4da973e6422eeb a65efee70f216ce6 || 0 0 0 || 0 0 0 ||
721166d9c3295c43 63d397eb80d10def || 0 0 0 || 0 0 0 ||
d44ed2dcb7f2bbf2 2660033c9cee4d13 || 0 1 0 || 0 1 0 ||
dceafa51d3418d26 73b104a047d8e1af || 0 1 0 || 0 1 0 ||
2f2326586b25ef0d 5a083dd2d98d400c || 0 1 1 || 0 1 1 ||
195566234cec6391 ea2d57cc4ff12695 || 0 0 1 || 0 0 1 ||
b9f686130b0c74eb 34a86069beceadf9 || 0 1 0 || 0 1 0 ||
4adbe3b8b5685b88 9e70b363d6d4be7c || 0 0 1 || 0 0 1 ||
0d03966e83307e9f 205377c7c919cbc8 || 0 1 1 || 0 1 1 ||
667e69d307c1f9ef 3c14a1f798b2c213 || 0 0 0 || 0 0 0 ||
5b225bb751921250 2052c908ff9861d3 || 0 0 0 || 0 0 0 ||
273f28d0315cc32a fc55a50897818880 || 0 0 1 || 0 0 1 ||
2ce297fa57d54c08 35cb6f51501c7a46 || 0 1 1 || 0 1 1 ||
11fbf3dd96ef171c cb80834dd58c08b3 || 0 0 1 || 0 0 1 ||
8cd4bc50d2309d2a 7eed2241a1dc4848 || 0 1 0 || 0 1 0 ||
1488cbb80e2f10c0 4fb38d5bb37995cc || 0 1 1 || 0 1 1 ||
78ba762ea73275f7 c084c8980c3410d7 || 0 0 1 || 0 0 1 ||
ce657eac73a89357 0358750298918de3 || 0 1 0 || 0 1 0 ||
181ec387cad0396a fac5a9f22a1f096f || 0 0 1 || 0 0 1 ||
34c324248ec12242 b1692bdd14df23d2 || 0 0 1 || 0 0 1 ||
64b3177d53b0bd4a 4d5a244929c58879 || 0 0 0 || 0 0 0 ||
b382d4693f25afa9 9ff0b2a006c743bf || 0 0 0 || 0 0 0 ||
d6bdb859b121e3f9 7c0e20f25d85d196 || 0 1 0 || 0 1 0 ||
47cea63cbb7205ff f210b50d3fe0a185 || 0 0 1 || 0 0 1 ||
51c0d54ebebf3f81 0ddfeaeef8e15f35 || 0 0 0 || 0 0 0 ||
6a5153556f1843d5 5220253268489c98 || 0 0 0 || 0 0 0 ||
e5d6f21dde87796f c8dc3aa38506e816 || 0 0 0 || 0 0 0 ||
d8c796a3771aa313 6303776b4c103c0d || 0 1 0 || 0 1 0 ||
37d59592b388b171 a3a9c699f124d63d || 0 0 1 || 0 0 1 ||
4bf788a2f59c9641 7fc659ccd5346112 || 0 1 1 || 0 1 1 ||
6a44694f1c5ed050 dbfc400eb62f9dc5 || 0 0 1 || 0 0 1 ||
7521e7da14613ac5 c03737873874d02e || 0 0 1 || 0 0 1 ||
9aeb3992b14000af 1ad2dcf698e256b0 || 0 1 0 || 0 1 0 ||
b0eb74cc033e82a7 5c2ea818a484b069 || 0 1 0 || 0 1 0 ||
736d85fdeb01adec 1bb56f384b7c124c || 0 0 0 || 0 0 0 ||
0a243ee66879ac99 a7d16260c7d421d6 || 0 0 1 || 0 0 1 ||
dfe7f45b06da0436 17cbd4dceb6eff1b || 0 1 0 || 0 1 0 ||
812d43ed4a89a1cf 0d80c14130371803 || 0 1 0 || 0 1 0 ||
a89708434147daf4 21ed115054c40c09 || 0 1 0 || 0 1 0 ||
37b9c205281f4fbd 1c14a05cf47ff33b || 0 0 0 || 0 0 0 ||
7b5c8e1f2eecc6bc 56995d7137b677f8 || 0 0 0 || 0 0 0 ||
f4e7d211a30b11c4 143ced3586e737bd || 0 1 0 || 0 1 0 ||
2d85d3766555b250 3da3c6f072c2a643 || 0 1 1 || 0 1 1 ||
a25708fabb345eff 2df3a1975375b589 || 0 1 0 || 0 1 0 ||
53bc98628e3e37be c2ee01fd7d408183 || 0 0 1 || 0 0 1 ||
65b30884ffdd7fa9 36aa97cb7bca4f64 || 0 0 0 || 0 0 0 ||
7bc3478170931a54 af16cbc22566dba3 || 0 0 1 || 0 0 1 ||
7e44798341b3ab97 a7f3df2636a045ae || 0 0 1 || 0 0 1 ||
b97d299d205eb438 c633bc48f5682fe1 || 0 1 1 || 0 1 1 ||
9897df00d77057a6 547e81b46f0e0b87 || 0 1 0 || 0 1 0 ||
f19881f13f132ab2 0dde897915ecffc1 || 0 1 0 || 0 1 0 ||
b83991019f28b278 b65358670d06ca8f || 0 0 0 || 0 0 0 ||
